Name,ICAM,p30,PD1,p30 + PD1
250206,85.71428571428571,0.0,85.71428571428571,0.0
250207,0.0,0.0,0.0,0.0
250212,90.0,0.0,90.0,0.0
250214,87.27272727272727,0.0,80.0,0.0
160125,96.0,80.0,88.0,76.0
150125,100.0,0.0,100.0,0.0
