,CD63 ICAM,CD63 p30,CD63 TIGIT,CD63 p30 + TIGIT,CD63 PD1,CD63 p30 + PD1,CD63 KLRG1,CD63 p30 + KLRG1,PFR ICAM,PFR p30,PFR TIGIT,PFR p30 + TIGIT,PFR PD1,PFR p30 + PD1,PFR KLRG1,PFR p30 + KLRG1
0,5979.649691076949,1096717.8785042223,426638.10134399997,402000.6429687273,60527.88279999999,474997.3153651112,67902.64532625,69757.10583200003,-1469.5115490000026,432168.3938491111,1141983.909222,294269.7500470908,55079.54368,354324.5416511111,232.15424924999752,25774.513060999998
1,-2776.9250295384554,58704.20281488891,515499.1341912001,328436.0515429091,114494.33164350002,445330.1173488889,751058.506435125,3044.855483571446,1355.3665609999953,65311.22173644444,751071.6991370999,682498.4143453636,82226.60411800002,1537674.0610768888,2976.043058624993,51246.574333714285
2,-22381.584813615365,554573.4831222221,162195.5854575999,110750.04906681826,59913.8617525,161137.93036366667,36473.288688375,16236.795522857152,-9730.827570000005,319815.8712291111,20961.029016799992,297847.21990772727,53219.60219100001,95084.68529266666,1202.9535498749974,44237.68893257143
3,-15600.71949538462,434239.0010751111,105521.48241759997,90397.67527636363,90864.1305,496524.51990088884,199822.18572975,26782.52257142859,-9623.670880000005,455575.91202355555,114781.82223329999,94151.96341854545,195728.532384,371531.4869658889,76200.52073475,174117.34883928573
4,117478.32133530776,860004.9836761111,513150.54108779994,591265.1249018182,6825.279187000007,278733.4439527778,197062.27409600004,317539.01319342863,96245.494379,236836.61226555557,645656.5185609,208125.26103272726,-1050.5384599999961,551122.5849677777,1444.5587039999882,989763.7010022856
5,-30896.757048307685,148982.7095018889,676565.9836212001,228653.05429590913,79359.54446250001,683483.4053866665,246372.656837125,1585759.9852560002,-13169.761054000002,48751.45253044444,1081745.5790341,670686.9016253637,79480.902375,461824.0160416667,1188652.108310625,697197.249102
6,292335.77696676925,411106.05574844446,275388.8086144,280954.12170454545,483455.69844000007,872624.9445724443,101342.89995212502,444847.2154457142,116375.76509399997,162618.39140022223,103993.83849919999,241931.20505681817,347506.27912,1287168.6741104445,17671.143504625,126842.55534514284
7,8338.303022076958,126750.43583999999,416587.179893,1245323.3508174547,24458.21476500001,111678.49586122221,75577.11914162501,401867.8479417143,-29343.001512000017,116301.78432000002,854986.1245564999,462890.9732241818,1375.737509999999,72543.07115622223,1239.2110431249985,173742.19958514287
8,-15406.689166076903,168866.1077624445,269088.72224880004,555023.4719669694,215995.22397750005,333640.164768,394008.7636622499,547538.795067,-6429.990370000003,361634.03738222225,359106.2018084,457798.47425187705,350013.00147,1079245.664943,1969.3315632499944,94427.59478700001
9,25540.493724,633004.4296232221,43185.364711399976,429157.0109669999,51400.704663000026,279250.2843448889,109829.93487987499,208780.51407942857,-11535.23857200001,712416.2658881111,282932.90918069996,234668.02988099997,27954.790080000006,303758.6590198889,9830.012883374995,257411.14949828575
10,-17054.491223384626,3080.6690513333306,259323.97491,915805.0087136363,114720.04166800002,86924.0892871111,15116.640468500002,580165.4159642857,-13157.846256000004,243.36684866666474,52457.3474425,379291.5031844545,313606.734008,124988.36588911111,-338.248689500002,246305.72714285715
11,100728.76623576923,143075.9846561111,262362.38984559994,371349.7263130909,263717.59822650003,844908.5638372223,55393.30926562501,199240.47244800004,19330.965926999983,370390.64872055553,605735.2487923,22631.26941163637,144058.29611300002,416542.9919972222,550.3430281250003,177710.93657999998
