,CD63 ICAM,CD63 p30,CD63 KLRG1,CD63 p30 + KLRG1,CD63 LILRB1,CD63 p30 + LILRB1,PFR ICAM,PFR p30,PFR KLRG1,PFR p30 + KLRG1,PFR LILRB1,PFR p30 + LILRB1
0,8534.798050000001,85326.86962689999,21578.95444099998,54843.26014933333,-19286.982247500004,8213.597709333339,336.65716666666594,57653.91672369999,-743.1513430000014,44140.05956266667,24.02634300000136,-58.41789333333509
1,15507.594408000004,37633.860654,55228.82627639998,17024.859283,34394.51805300001,433512.19686444453,282.48805999999604,18051.185802,643.5013787999997,4936.9451629999985,1374.6693464000018,31202.570981555553
2,9269.526529666662,13871.290323299996,182389.60707029997,45749.83140000001,25139.8317465,6148.494141111114,284.706882444445,874.6625199000009,569.9654990999952,2450.040264000003,529.9304526000005,15.793943888887952
3,6690.8543873333365,37359.484157900006,110225.71739460001,13227.184864000003,32516.96202900001,43544.236735666665,18.184658888889317,32414.277226699996,1560.780930199995,639.361868,1566.941360400002,31676.225692333323
4,14627.954293333343,32048.895733699996,71891.85314309997,78524.18058599999,22371.745618499997,169964.2505797778,358.67306155555525,54527.471313099995,-876.5985073000047,124279.78630499999,956.9278152000006,86167.32042222223
5,35675.383771333334,39353.28770919998,12128.931317899995,53199.145182666674,30502.401025500003,234203.9935978889,1748.8440715555553,11646.727023600002,498.8433862999991,52361.87916933334,532.4847768000009,165689.31386611113
6,9777.485272000002,169771.89136180002,18079.328079599996,18840.184258,4163.764027499994,18576.68384133333,1818.3667786666665,86523.18299940001,-65.82034680000106,1723.2648439999994,74.765182000001,-182.5488933333363
7,10965.429159333333,393464.24919989996,2136.522932599997,75723.00088066666,50589.6269835,42404.39607077776,608.3437358888887,236513.8278947,-505.71619980000105,21125.255507333335,1778.6842128000008,73980.63993122222
8,8040.947251999998,53218.62315439999,10332.992475699994,10778.724867666671,29511.779320500005,56231.71670511112,349.16836933333434,5637.544103200002,520.6368658999982,2048.7295503333316,210.56402620000154,2803.0715848888867
9,8467.156714666671,63438.423107400005,2946.619288299993,24114.78937866667,-17693.88255600001,73716.57809422222,534.7649991111102,41579.81411220001,-362.897985900001,567.537965333333,-489.5198784000004,88289.00789777776
