,CD63 ICAM,CD63 p30,CD63 TIGIT,CD63 p30 + TIGIT,CD63 PD1,CD63 p30 + PD1,CD63 KLRG1,CD63 p30 + KLRG1,PFR ICAM,PFR p30,PFR TIGIT,PFR p30 + TIGIT,PFR PD1,PFR p30 + PD1,PFR KLRG1,PFR p30 + KLRG1
0,9421.836693818179,1178824.3120807998,76547.69786880001,1014543.8213606001,26503.058885333332,114409.09672349997,237230.38018733333,302528.1181039,-925.2864833333351,28012.0715224,95070.35743199999,466212.13845339994,58442.504449000015,106284.9998814,307140.39698333334,48239.3583134
1,32478.390280636362,710472.4846785,118070.28152260001,86490.89725489999,89779.73226666667,58668.65636450001,87625.09440066665,329881.2333066,21273.810980333335,22503.94321050001,162477.8904135,243406.21081709999,176436.221005,130096.6418102,176924.65768366668,127424.66828759997
2,154240.00176618184,1758297.683954,273571.684428,300342.58679970005,21995.269902,645287.055336,118168.66364599997,107950.57722960004,174565.74327233332,61792.36150200001,9155.232554999999,79312.6753623,33660.1005975,653074.9327872,77870.6,42679.28484959999
3,16491.55173454545,955119.2861250001,1563729.4106037999,224100.98907210003,58970.15856666667,280195.9974375,70690.23949333333,133278.1538955,71470.52194333333,81167.33587499999,258718.99240549997,430528.6586979,111276.1294575,347565.064725,164238.7878933333,119510.662713
4,24695.733168000006,339616.2917843,62912.885359399996,136198.32762479997,51271.64803666666,454952.65513900004,12093.970410000002,630804.2508742,57000.62128199999,134539.2256379,259951.81937050002,160948.65537519997,32401.458966500002,267886.1754656,15601.635719999998,74247.67295919999
5,50031.00106727272,668578.3601672,1136287.1589944,726775.8559592,27543.770217333324,368056.2865660001,1068631.7253386667,65447.725261200016,16803.914533333333,614886.1103976,643921.369922,89730.31743280002,53491.91299375001,299506.1679736,7340.534482666662,107348.9187192
6,49086.228628181816,426044.60683050007,270845.97258480004,180578.1918863,20851.592327333325,200696.65860750002,102874.62176933332,181031.69164410004,46293.210427333324,62083.58617649999,384431.734565,160054.07387969998,16086.595434749997,314056.69432680006,127322.20616133334,136018.8637896
7,15130.71440363636,336046.521242,16901.2108172,80245.7427114,20581.679072,408144.81464700005,129057.9108,277579.97782770003,22166.914377333324,12197.018326000009,787.2466930000046,57932.967216599995,42918.178917,211702.1349984,91523.42159999999,155847.51948619998
8,57857.182595636375,488622.3327232,58370.52474660002,187519.3085776,40451.91317433333,492417.73627200007,54347.95779233332,122748.47241580002,97394.62125533333,3708.6007296000025,90132.28161450001,104601.87299039998,32644.64941675001,376779.5051328001,80597.53314433333,177071.6241028
9,65097.42867736364,636925.8745429999,205021.0042426,30111.487664400003,29412.978000000003,970634.240625,55207.77912866666,105629.6913112,86565.29202033333,89880.77221899999,107702.9198235,48127.69844759999,90405.3274425,1021549.5174499999,823.6045546666664,36754.5606112
10,7679.334177000004,143565.1823097,100733.13097920001,207296.81666009998,574524.18595,248580.62885699997,45017.12104499998,132294.20035380003,23684.759339999993,34923.3140521,48659.033004,139111.28194589997,398427.8321595,80003.25958320001,13250.492687999995,73834.59343080001
11,57391.29403636362,117628.8188906,98596.75885120001,149820.9362862,114767.13457999998,846786.8005049999,134792.208332,309004.496517,68686.97432933334,54702.8925818,8353.419608499999,149036.3662698,74339.19270750001,242154.69287280002,17418.486560000005,161034.823932
12,38163.96625772727,10914.306920999996,140707.54038000002,260874.49857000003,50391.08527000001,412567.69957,319354.57830199995,301952.2654741,59508.26806999999,450.81312300000354,89133.22275000002,256271.54613,27134.732529749996,125386.44295839999,154019.882012,112116.83798359998
13,73322.98526563635,474772.36467660003,109432.0465344,178103.45929459998,25214.742868333342,68354.38395650001,222545.198096,334365.8643801,115522.34937999999,55762.1396998,100104.67341,87546.19890939999,95107.00617274999,14164.487939600003,247389.78390800004,154257.53354059998
