Name,ICAM,p30,PD1,p30 + PD1
D1-250214,16803.914533333333,614886.1103976,53491.91299375001,299506.1679736
D1-250214,46293.210427333324,62083.58617649999,16086.595434749997,314056.69432680006
D1-250214,22166.914377333324,12197.018326000009,42918.178917,211702.1349984
D1-250214,249656.593558,96852.34320855331,486.7557695000014,198976.0560399813
D1-250214,92977.98085766665,514005.28659369994,40722.573179750005,18338.556268000008
D1-250214,124091.86662266665,75223.47584380001,54135.480498749996,63591.8644326
D1-250214,19177.313541333333,39662.61535790001,255662.65357850003,70102.3222558
D1-250214,160325.35418666666,71669.2562593,-878.4118822499986,121214.3839354
D1-250214,10163.921674666664,73321.50378000001,25894.8602975,263742.4932512
D1-250214,-4981.9077110000035,2394.306861900004,31078.368208000007,269828.69416879996
D1-250214,27096.265353333336,34189.889398600004,10832.077815000002,9934.902392400003
D1-250214,42993.20365266668,24950.993390700005,37059.19940625,386304.5134368
D1-250214,15564.20074,422770.3299352,-630.4995937499989,137331.794961
D1-250214,11587.437878333334,155019.279591,225240.03437900002,51241.876160399996
D1-250214,96347.16231233333,3623.0942706000023,-1613.3118165000014,90340.96174079998
D1-250214,110192.67311,16673.748600600007,192092.06291875,147910.8066792
D1-250214,-1191.352338333334,187456.6290967,65056.652839,221812.1771886
D1-250214,62515.89764399999,101203.5717827,1775.7934375000004,50766.99758580001
D1-250214,12746.897384,82981.57725,113596.97914675,129112.36402240003
D1-250214,49717.71199066666,226909.60331819998,69453.90175195556,82060.3316772
D1-250214,106504.43801633333,6862.7143235,64379.13383475,485665.5972046
D1-250214,134186.690142,73586.4333635,5138.136780000001,122421.44231079999
D1-250214,26841.073408666667,166993.34091650002,22597.327263000003,181219.411941
D1-250214,84802.30867266665,752537.5714710001,-986.8113552499999,24486.24220200001
D1-250214,67529.20326533333,24257.976797700005,62917.600933750015,256348.9947792
D1-250214,-1376.9824653333362,36906.18720600002,2358.705455750005,117377.51981639999
D1-250214,6810.1019996666655,21636.0168594,111230.67141225001,157373.4972942
D1-250214,97394.62125533333,3708.6007296000025,32644.64941675001,376779.5051328001
D1-250214,86565.29202033333,89880.77221899999,90405.3274425,1021549.5174499999
D1-250214,23684.759339999993,34923.3140521,398427.8321595,80003.25958320001
D1-250214,68686.97432933334,54702.8925818,74339.19270750001,242154.69287280002
D1-250214,59508.26806999999,450.81312300000354,27134.732529749996,125386.44295839999
D1-250214,115522.34937999999,55762.1396998,95107.00617274999,14164.487939600003
D1-250214,86316.70004533335,276070.3274736,2860.822725000002,232573.161834
D1-250214,189863.62700166664,28476.189273600008,34646.5787535,35898.6883288
D1-250214,56409.51337666668,3843.6076423000013,242292.21936900003,950.9635111999996
D1-250214,159275.79049133335,201831.0888567,21876.75830925,17710.535302000004
D1-250214,67059.00645066665,1126.090086600003,177721.52819700004,94937.7691284
D1-250214,32116.11616133333,32760.61534270001,201923.87103575002,105018.55891200001
D1-250214,272704.185314,65268.830814400004,5564.836207,112179.60922880002
D1-250214,59533.846522333326,67465.35325010002,68112.38611450001,43553.2448322
D1-250214,112409.76519466666,18950.282551500008,185449.51677150003,110733.62743520002
D1-250214,49436.72300933332,65156.44150030001,1445.3757097500002,-311.9255777999988
D1-250214,122334.74389999999,133314.14266040002,70100.49826725002,121401.42624500004
D1-250214,-2491.464654000003,41845.628531099996,10073.11686025,65899.09918440001
D1-250214,73999.41882666666,3482.924009500006,9025.791236250001,10014.849054
D1-250214,43009.585233333324,3014.792046000006,57737.10774975001,197366.2788096
D1-250214,122549.58665000001,173751.7917245,29426.397848750003,49191.774586800006
D1-250214,93426.161031,10236.295926500003,185709.8730775,160891.5909888
