,Corrected CD63 ICAM,Corrected CD63 I + p30,Corrected CD63 I + TIGIT,Corrected CD63 I + p30 + TIGIT (2),Corrected CD63 I + PD-1,Corrected CD63 I + p30 + PD1,Corrected CD63 I + KLRG,Corrected CD63 I + p30 + KLRG,Corrected PFR ICAM,Corrected PFR I + p30,Corrected PFR I + TIGIT,Corrected PFR I + p30 + TIGIT (2),Corrected PFR I + PD-1,Corrected PFR I + p30 + PD1,Corrected PFR I + KLRG,Corrected PFR I + p30 + KLRG
0,5969.401352727276,188007.0448795,240578.9224772,274448.59910999995,190198.811953,243509.730656,58431.27744133332,592710.354975,134186.690142,134539.2256379,5013.0904625,125355.00023139999,114753.16046174998,224479.50849679997,162467.25919733333,48239.3583134
1,7679.334177000004,700604.6825712001,143702.50019440003,34387.118902500006,58970.15856666667,119003.64745500001,134792.208332,247974.3222144,73999.41882666666,155019.279591,8353.419608499999,160948.65537519997,29426.397848750003,314056.69432680006,19953.719849333334,203640.0090266
2,121348.74339490908,1314420.0993508,603469.6084295999,1014543.8213606001,245604.90353333333,211134.69761250002,66156.41403533334,208874.1188143,-925.2864833333351,18950.282551500008,133346.91602250002,100557.26087029999,22597.327263000003,70516.4538432,362001.07777733327,107348.9187192
3,14998.397509090908,294109.3503469,240526.95237760004,77569.8504646,203350.79240666665,1950494.5265940004,108912.03201066666,216338.53433280002,110192.67311,3482.924009500006,125663.33177399996,127294.4366711,126476.8104105,169158.40603500002,160595.29009333334,119510.662713
4,154240.00176618184,1087770.3191241,116424.21387959999,552279.5495866999,20319.93631433333,802049.3604225,122063.60433533334,105629.6913112,56409.51337666668,34189.889398600004,2001.1296655000006,149036.3662698,215905.67637600002,139326.70716,3136.5015219999987,-474.12352439999813
5,54647.86267561616,426044.60683050007,144166.52122320002,386028.4920459,123540.955081,152370.79637299996,147973.71449066664,529190.7607176,38943.50921066666,1126.090086600003,10451.997147499998,132809.9689917,1775.7934375000004,50766.99758580001,7340.534482666662,32518.873226
6,7261.547160909089,39498.58057499999,114995.64794400003,53453.02422239999,13142.167800666655,305057.23867500003,97655.82189999998,1199876.6155132002,39057.93496,14046.282738600003,162477.8904135,112306.1628656,192092.06291875,129112.36402240003,247389.78390800004,376025.12643520004
7,16491.55173454545,200717.48286419996,118070.28152260001,80245.7427114,25214.742868333342,472670.29188,25833.336273333327,750545.0326155,67059.00645066665,16673.748600600007,6963.9534255,57932.967216599995,42918.178917,324032.34112959995,8638.701339333333,-1204.5186635999999
8,21482.92004363636,914108.2172156998,62912.885359399996,472439.42587379995,20422.016235333344,386736.9513525,319354.57830199995,490398.3315063,112409.76519466666,86693.72488060001,537250.0980989999,234085.4921325,-630.4995937499989,9934.902392400003,80013.76602933335,151147.50032700005
9,24695.733168000006,18681.012312199993,349263.4808052,45525.81166050001,95383.20944399998,970634.240625,134871.89027333335,84188.86639080002,122549.58665000001,3014.792046000006,5198.212705000002,94775.34828869998,111230.67141225001,49191.774586800006,90741.73383900001,35198.98453140001
10,9421.836693818179,1675585.293777,140707.54038000002,16225.697906900008,-3390.464301,224348.0574975,222545.198096,49089.333698300004,71811.13017494709,113744.90753250002,214466.49566949997,256271.54613,185709.8730775,376779.5051328001,107643.60641933333,761754.91021
11,15130.71440363636,679815.6793195,386804.0466252,258825.382431,37807.668953333334,58668.65636450001,283787.5592516666,943405.5785524999,134524.86167466667,171117.4758971,338066.06364300003,74687.88654719997,10073.11686025,269828.69416879996,43618.544733333336,74688.396238
12,12032.464817454544,457809.7798929,113695.8288024,40235.3734881,18753.932885333335,368056.2865660001,45017.12104499998,1104041.6350533,59533.846522333326,133314.14266040002,2031.634990000006,79312.6753623,37059.19940625,404199.9161928,15601.635719999998,26243.4226296
13,202736.3657581818,770878.5457997001,182821.30391400002,180578.1918863,13527.15988,299969.38479200006,87625.09440066665,100399.79585280002,272704.185314,57229.1962602,37570.49953600001,243406.21081709999,34646.5787535,80003.25958320001,17418.486560000005,43651.751684799994
14,59181.69111536363,497631.03965250007,125775.761452,54637.9084303,9747.415003999999,408144.81464700005,70771.28619333333,95172.02111940001,59508.26806999999,96852.34320855331,9717.521436000003,67861.8503532,201923.87103575002,176410.8536864,823.6045546666664,90447.72159399999
15,20142.63077563636,117628.8188906,684112.6770816,75459.0110335,11902.168877666656,845014.7203225,55278.53265833334,315913.296054,174565.74327233332,6862.7143235,90132.28161450001,273477.6136417,111276.1294575,70102.3222558,145893.16396333333,27168.401645000005
16,265761.0395950909,688485.2034074,1563729.4106037999,297535.1002479,101654.01297766669,31857.456541500003,119022.36434666667,251137.32347640002,32116.11616133333,3708.6007296000025,6822.028332000002,255077.0618613,225240.03437900002,24486.24220200001,181872.11355833334,56378.10361839999
17,26131.62583663636,368458.26086880005,247478.79925840005,149820.9362862,64529.012983333334,811028.8454910001,57725.72714466667,26104.06804900001,49436.72300933332,57126.255391700004,89133.22275000002,126730.83771950002,1445.3757097500002,45975.8213984,-324.8178146666687,42679.28484959999
18,22857.548219545453,949536.6615420999,278638.70867879305,224100.98907210003,19541.69717333335,222969.9371275,258818.422156,113264.60336830001,62515.89764399999,2394.306861900004,9155.232554999999,491077.68350409996,53491.91299375001,10014.849054,77870.6,154257.53354059998
19,54588.11766763636,787391.637417,109432.0465344,79470.8948313,44057.36501599999,647667.2602615,70342.353528,58923.852878800004,-1376.9824653333362,32760.61534270001,409097.1559625001,201270.34154489997,90405.3274425,299506.1679736,215555.35428,36754.5606112
20,156662.94120727276,680212.6292755,37735.7481082,167895.81467639998,16283.177886666672,754495.8694480001,88324.45195233333,302528.1181039,124091.86662266665,39662.61535790001,29000.825243500003,94607.30339829999,65056.652839,14164.487939600003,101817.15886827877,265821.83646479994
21,70292.13139345453,2178123.5176968,210494.9510692,300342.58679970005,84717.71055733332,102878.277496,54347.95779233332,255043.10576650006,92977.98085766665,976.4522250000009,181478.2354535,69446.9081196,95107.00617274999,562849.2935478,9219.643593333334,15019.577332800003
22,15621.350405000005,420907.8232454999,408421.5807110001,58449.31509170001,74744.59248757779,176647.75751700002,156952.85629033335,432764.09235030005,92472.661941,22863.463515600004,787.2466930000046,48127.69844759999,54135.480498749996,94937.7691284,79900.7766,68835.69770880001
23,32580.70863672727,1178824.3120807998,54751.63553639999,368020.28858570004,46474.84413333333,179137.3868835,102874.62176933332,303069.7456389,42993.20365266668,75402.1019221,5907.238459500004,139111.28194589997,486.7557695000014,-311.9255777999988,31854.206802,127424.66828759997
24,49086.228628181816,983223.6010289,235782.8142432,29171.3859468,104065.70587733331,937995.8815999998,65083.94187999997,916802.4309795001,93426.161031,187456.6290967,259951.81937050002,21095.340355099997,64379.13383475,485665.5972046,7618.49094233333,110053.16800080001
25,31250.10563381818,814001.1984109,23882.174556399994,136734.90291960002,47554.663778999995,2212205.5489605004,88014.628296,-185.29446839998855,31796.624110999994,101203.5717827,109588.91793500002,160054.07387969998,398427.8321595,414183.715584,3771.4262799999997,124354.40945820001
