Name,ICAM,p30,TIGIT,p30 + TIGIT
D1-150125,26901.457181399994,812156.5013683335,384.5765517142863,79851.519111
D1-150125,840.177487599999,85345.12363699998,-21912.352157142857,7050.920634000002
D1-150125,-443.22949780000636,136823.18031466668,4196.220251571416,29002.763502
D1-150125,-1074.7289728000014,1541.9004249999998,10078.906195714288,440798.7660625001
D1-150125,24760.201559999994,244361.08407533338,1608.9229607142843,5049.153794999998
D1-150125,1359.5696471999981,1959.218181333381,1731.6408875714278,258692.76514950002
D1-150125,4309.575095999993,124556.66471900002,3301.805659714286,269268.4440455
D1-150125,527.0662375999927,25939.69584800004,-802.1769874285746,43694.6233115
D1-150125,4082.3903119999923,667094.9070170001,-558.359999999997,9516.209850000007
D1-150125,3410.889897599999,267897.8593456667,-318.1270297142837,15840.693234000006
D1-150125,9876.308919399984,117976.70749133336,6560.525325000002,33858.24676499999
D1-150125,3398.4620843999983,92925.05395200002,7968.6774467142895,-487.6718875000006
D1-150125,17773.645247999997,3358.7625280000175,-229.90041800000108,83561.65841250001
D1-150125,49.60302779999802,94169.32098333335,-617.449610857142,55641.542206499995
D2-160125,2194.577996666667,349.71408900000097,2821.1668838181868,10356.376623500008
D2-160125,-1770.100072000001,425164.625109,46837.09382036363,314437.1173552
D2-160125,2895.555236,79396.65575600002,-13925.89657199999,604.7204034000024
D2-160125,1585.8680333333323,-1226.4614999999976,-4312.1987020000015,4477.831174999999
D2-160125,-5199.62574166667,-2925.4586179999988,33901.84248181818,32104.281563699995
D2-160125,1551.636120999996,47934.30505600001,31694.531128545445,-1020.6112257000004
D2-160125,3642.2563500000106,4755.866586000004,7285.417776000002,21846.31494540001
D2-160125,2100.545483333335,18318.709281000003,-1621.9974484545455,10638.732790400005
D2-160125,-10081.878485000008,732.2533000000021,33111.10677290909,-407.2531231999965
D2-160125,2755.294985333334,13576.528672,-2348.8270972727278,55976.5675173
D2-160125,1285.973941999997,21316.156200000005,-794.6572763636323,12620.253375600001
D2-160125,-4910.238746666662,237829.04308800003,-507.482228181816,8320.8558095
D2-160125,782.4344873333357,208464.28128400003,97887.02952500002,26339.006698400004
D2-160125,552.5232950000009,-3236.912279999997,-4007.3310126363613,48887.75121060001
D2-160125,645.4340373333398,27497.92908,324.1131098181868,5157.533047899999
D2-160125,1105.2657800000015,20219.123174,-2381.0361625454534,2204.2679670000034
D2-160125,-23708.810410666672,91222.843945,-483.3145199999981,138480.6882801
D2-160125,-6350.555194666667,-7806.265500999994,-51.17086545454549,1325.0216727999941
D2-160125,5830.873715333335,11368.246566000005,8269.920427363642,28052.431320199998
D2-160125,2188.525397999998,43894.8415,2707.569384000002,71.65986520001024
D2-160125,-15876.184090666677,40507.749056000015,-6737.2806034545465,13134.2032927
D2-160125,141612.99878733332,42822.341799,-1888.5302083636343,8937.536558100008
D2-160125,9090.855735999998,79108.76708299998,-12021.931441363638,23098.216592700002
D2-160125,41550.70821333333,24409.438788000003,225.38421018181907,32514.600098399995
D2-160125,-14026.87146333333,160404.662934,-7132.128816545453,43070.62094700001
D1-250206,-1483.2303360000042,205192.05344583336,26296.219336749997,54375.152899999994
D1-250206,254305.27976360003,171683.3771455,4544.128238999998,202134.69229099998
D1-250206,26014.32407712857,20398.42448416668,8245.9129975,-3825.200652000003
D1-250206,-1586.1092422000002,84060.71442816667,119833.63281500002,11701.243150999997
D1-250206,-1443.9403704000033,264436.5393216667,9288.704627999992,123857.099141
D1-250206,159.54664559999765,1833.3643845000042,5528.946879749999,1597.7544099999977
D1-250206,-945.5749967999982,-7194.776436166656,22473.081669999992,77498.38927999997
D1-250206,-878.8682176000038,203396.80803833334,237083.71225274997,3381.168279999998
D1-250206,-1116.5735471999997,733546.0426739999,5248.578371249994,10140.038665999997
D1-250206,122133.855242,35357.83370416667,18983.687049249995,1614.6867119999952
D1-250206,-1194.8035391999983,252191.06999950003,37787.706381749995,52054.458984
D1-250206,-658.4400124000058,231970.16777549998,159.70105124999827,5268.859199999992
D1-250206,-1612.982514000003,267460.38110249996,-1827.3683645000056,4801.832883999996
D1-250206,-66.61417000000438,3669.4539058333394,240122.94258074998,31964.557051000003
D2-250207,-29212.72501000001,277192.878949,167556.72162490003,-2318.8917340909084
D2-250207,10974.871525999995,4937.602875555556,706052.8519781999,660014.6320063637
D2-250207,346785.04955999996,272125.75678600004,-1645.0948704000039,625604.5877706364
D2-250207,-1811.3823140000022,132376.38899755556,622260.4290285999,240783.72334336367
D2-250207,27554.062094999987,2482273.4244,328102.00835539994,124296.56370981819
D2-250207,-19082.259156000007,1225328.9962116666,114902.43927409999,269636.66967163637
D2-250207,-8820.665925000005,1457241.2158911112,246141.76071869998,154728.086778
D2-250207,-3198.0276430000013,1725279.417674222,260020.62449999998,1550485.3275914546
D2-250207,-13837.795365000005,368671.70537555555,670787.5311545,227305.6396094545
