,Corrected CD63 ICAM,Corrected CD63 I + p30,Corrected CD63 I + TIGIT,Corrected CD63 I + p30 + TIGIT,Corrected CD63 I + PD-1,Corrected CD63 I + p30 + PD1,Corrected CD63 I + KLRG1,Corrected CD63 I + p30 + KLRG,Corrected PFR ICAM,Corrected PFR I + p30,Corrected PFR I + TIGIT,Corrected PFR I + p30 + TIGIT,Corrected PFR I + PD-1,Corrected PFR I + p30 + PD1,Corrected PFR I + KLRG1,Corrected PFR I + p30 + KLRG
21,117478.32133530776,435749.89826133335,178260.06303080003,1155469.6322787274,59913.8617525,1093098.1443265553,124074.78300225,65909.83684114287,19330.965926999983,524884.0858146666,359106.2018084,294269.7500470908,55079.54368,138510.63533144444,2679.9146659999933,103503.26081085714
22,-5876.226370153847,458083.3238911111,512382.91347299994,1052093.7836372727,138612.329822,423874.2095928889,234217.2698225,1165214.9353035714,1069829.69728,1725279.417674222,282932.90918069996,660014.6320063637,-1737.4494020000002,313748.74643444445,554.1275531249958,-4120.389448285721
23,142185.46936507692,246540.73748722224,36543.07027139999,872238.585061818,249177.66678599996,715378.1432619999,93022.51834487497,302261.97922057146,96245.494379,162618.39140022223,161342.31810509998,208125.26103272726,240024.367396,1037217.885683111,1615.1106029999937,598206.4936491428
24,-66608.53144615384,926969.5432782221,404264.93445840006,90397.67527636363,45417.35130400001,282683.2914705556,95635.44508074998,3823.1808574285824,31066.449858,319815.8712291111,667123.6557777,277270.9145367273,27954.790080000006,307702.8892955556,781.6773431249985,38272.720627142866
25,409588.2845443847,763317.6514087777,43185.364711399976,745997.1542174545,327570.4736315,161137.93036366667,252303.91222975,4066.7431011428635,397904.95712,4937.602875555556,114902.43927409999,240783.72334336367,1073303.5742330002,1027655.1872735556,9830.012883374995,427367.9796942858
26,-15406.689166076903,352546.19995555555,190377.318679,1113055.0184685455,485141.47967699997,1372816.9247023333,178416.670490625,4342.517527714284,-13837.795365000005,65311.22173644444,-4558.434172500005,379291.5031844545,8161.982640000002,193371.66761022224,10773.641068999998,253080.81442285713
27,564635.583670154,540613.7284484444,1171610.3802960003,1093763.9024549092,1224.0234370000107,1040441.1314385554,436004.017080625,26782.52257142859,-13169.761054000002,132376.38899755556,20961.029016799992,775927.9626482729,51575.91827100001,1726010.8771656663,17671.143504625,335273.10384342854
28,-21856.899057230752,43920.80611022222,140490.8036332,1361264.2727795455,24458.21476500001,525034.1942413333,40353.765243000016,38440.38574628573,-9730.827570000005,2482273.4244,1141983.909222,10381.994143181815,162685.69733599998,320281.62230044446,-681.5255716250031,126842.55534514284
29,-14626.604984538426,434239.0010751111,189574.87374540002,228653.05429590913,432766.1771645,335883.8670737779,74888.92903937495,208282.2821657143,116375.76509399997,1225328.9962116666,352547.8546145,503589.1381767273,499337.96170799993,102638.02985800001,5688.56108275,603596.7988571429
30,-25.342133846133947,1252539.9218453332,484523.8044164,430337.5657461819,13712.516012500011,196820.15009844443,144242.61920025424,267072.7436765714,58142.2579450196,361634.03738222225,670787.5311545,513507.04055181815,1931.7905900000005,95084.68529266666,1228.5053601250002,2248.6899034285707
31,32165.728884307697,1070072.4036945556,170993.6859594,324520.4405751818,419042.58576199994,111678.49586122221,81528.709644375,401867.8479417143,27554.062094999987,368671.70537555555,133776.5584576,854314.848633909,313606.734008,1287168.6741104445,45.332178749999,177710.93657999998
32,-1365.7022711538302,633004.4296232221,175445.01047700003,288199.9158899091,231717.67345958512,592955.243143111,448020.1161460001,143257.7565194286,-15665.627785000004,751135.4227229999,115819.11742169998,420363.3032063637,573312.06921,100408.79213,2530.598120749999,326066.5283967143
33,-3126.080683846143,274742.13132422225,702593.9072716001,175810.64330345456,6825.279187000007,340122.32428044436,76417.863776625,147957.94096799998,-14971.430760000003,150065.5338133333,799847.9563129,499518.5253003636,152285.68857,341203.9757477778,1748.220468749998,-1144.4661835714323
34,-31550.302818461438,127012.17224488888,269088.72224880004,384933.7588759091,252603.54298300002,307949.096518,209677.88229412498,18907.17164328572,-1469.5115490000026,233875.72375844445,236956.47216299997,234668.02988099997,169606.13622000001,109230.16558344444,1444.5587039999882,147300.88197957142
35,44135.59730815384,649548.8125767778,294775.6890623999,826465.0574333636,51400.704663000026,1115634.9618696666,63529.959223625,73751.04090257143,-9623.670880000005,352448.0293833333,643319.825547,227305.6396094545,173924.79938712763,152899.483596,1029.3099424999964,103446.54726257143
36,-2776.9250295384554,75384.56653733333,515499.1341912001,136106.76898545458,66137.70187199999,464159.33291733335,246372.656837125,510936.49076214293,-1811.3823140000022,136914.2345661111,114781.82223329999,-6289.2772363636395,44371.854692,1241890.7369845556,-709.4895400000023,38824.857086142845
37,-389.710834230762,2282622.295312222,43922.18050559999,461737.2246758183,20281.053055000026,743971.516251111,20456.443830000004,407940.0116648571,-11535.23857200001,329172.35149088886,573828.9800487,212882.37042618182,195728.532384,230169.0388176667,743.507004499992,477962.8783928571
38,-4204.560116769222,58704.20281488891,13913.566636200005,-11497.878040909083,633132.9343610001,264783.67405022215,55393.30926562501,763245.3665942857,-29212.72501000001,87735.92420266668,622260.4290285999,411008.3217487273,144058.29611300002,140714.18127555557,-157.9843090000013,-3478.7533080000067
39,-72917.19442953845,986137.7405955557,565471.2615552,327233.0803018182,215995.22397750005,1960187.4005797775,247267.87797187502,257487.0730032857,-2357.5056000000004,1610864.2126719998,-733.2138209000004,94151.96341854545,350013.00147,128208.59168888888,5213.103371874982,380620.7232524286
40,-17054.491223384626,252045.63545944446,238712.11185599997,887090.4461747273,586191.4837024999,795079.269776,75577.11914162501,208780.51407942857,-6501.143992000012,70294.32736000001,279773.2883286,303527.2172762727,84350.06949600001,721883.5546982222,550.3430281250003,1311816.5805194287
41,-84089.17254499995,330048.216317,262362.38984559994,110750.04906681826,1042817.4946060001,325575.8909899999,69929.572305625,300057.89772157144,-10588.031136000005,659248.6402387777,246141.76071869998,1005164.1872450911,79480.902375,945108.1799928888,6735.097277999996,57896.54835057143
42,-18391.11334038461,876886.1124408889,390676.403164,215807.20593590912,-3243.5396624999994,1386893.636627778,16486.63800225,69757.10583200003,591922.058964,236836.61226555557,645656.5185609,1216943.4662553638,219871.372005,551122.5849677777,2246.7475237499984,127530.37168971427
43,-22381.584813615365,149478.16789655556,430046.98908599996,402000.6429687273,263717.59822650003,445330.1173488889,89691.99945937496,18711.02150485717,68102.84266999998,243.36684866666474,143867.75456349997,637809.9127292727,347506.27912,537361.5943694444,1239.2110431249985,989763.7010022856
44,71721.61913230774,868892.1805134445,171515.81495720003,264378.62950881827,1191336.0192855,625208.3913400001,42873.161010749995,196191.56293542855,-34905.53173200002,116301.78432000002,262333.8279835,30.59725963636447,82226.60411800002,548451.732577111,293773.32334074995,246305.72714285715
45,45828.245117153856,305378.48658333335,676565.9836212001,1306566.4066476363,60527.88279999999,262695.8898227777,128677.50435299998,506299.9209818571,-6521.359295000002,1071752.8076783335,-1645.0948704000039,1710678.1757023635,488563.09664000006,502238.23557200003,-75.76338087500335,257411.14949828575
46,100728.76623576923,177913.99942444448,513150.54108779994,145168.65006054545,174127.90007249996,872624.9445724443,751058.506435125,228856.81846985713,-29343.001512000017,29788.625693333328,4976.8154260999945,762670.0831127273,6596.4823670000005,79165.23997333334,2197.344987499997,44237.68893257143
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,22482.203811348016,617822.0038698856,354613.592608766,565664.1855826996,233727.9380615975,665163.7971454897,156771.95290677407,313086.0654104952,58000.80058419192,447970.81402180373,417710.62143039115,483807.1340860806,177647.67891579,474284.75371386524,49033.05649264108,271973.9439069088
