,CD63 ICAM,CD63 p30,CD63 TIGIT,CD63 p30 + TIGIT,CD63 PD1,CD63 p30 + PD1,CD63 2A,CD63 p30 + 2A,PFR ICAM,PFR p30,PFR TIGIT,PFR p30 + TIGIT,PFR PD1,PFR p30 + PD1,PFR 2A,PFR p30 + 2A
12,-9589.811520000047,-982.4987533000021,32974.60246618182,442275.67131999996,48245.495900625,1703.1168423333365,100902.89198990002,165642.6135628,41550.70821333333,24409.438788000003,225.38421018181907,32514.600098399995,3987.2606099999994,109.68978188888832,2951.5208151000006,12695.1889372
13,18498.312734999992,149859.51063550002,28652.12362336363,187798.724904,-12937.518213124975,4006.4357739999978,530157.6312994,-3067.1355594999986,552.5232950000009,-3236.912279999997,-4007.3310126363613,48887.75121060001,-429.25270300000193,-228.3844863333361,12789.0045426,4866.179899500003
14,40088.60404399999,8802.0378633,116104.31184999998,928051.3348479999,6973.157252500023,258046.92647066663,306337.3932725,150636.3083797,782.4344873333357,208464.28128400003,97887.02952500002,26339.006698400004,1043.2659559999993,243475.14165577776,1715.5694024999975,-2193.0444107000003
15,-189142.4855040001,250588.06616479997,104295.58369081818,61601.685986,6272.2727300000115,365400.79834866663,32895.141963899994,590285.2859708,645.4340373333398,27497.92908,324.1131098181868,5157.533047899999,4246.904639999997,33423.69940311111,3353.5325890999993,109186.21274520001
16,2916.949289999975,94867.8691578,13550.263177454544,112346.52534,17748.37793625002,24307.601893333325,194564.74398199999,271995.47911019996,1105.2657800000015,20219.123174,-2381.0361625454534,2204.2679670000034,2133.096809999999,4386.230300888887,6961.172637999996,33026.42983979999
17,13325.168747999996,191993.6828529,6081.2658539999975,1319721.346162,88147.76555575003,182809.17282366665,365176.02309999993,402499.31702520006,-23708.810410666672,91222.843945,-483.3145199999981,138480.6882801,4606.209771999998,332901.3189631111,1498.375900000001,2302.8502668
18,-108375.72768000007,70135.33857949999,14605.807631454547,287076.97394999996,67839.60082550009,-3449.028328666682,514123.5505037001,173279.73537559996,-14026.87146333333,160404.662934,-7132.128816545453,43070.62094700001,9062.573772000003,5743.229738555554,11184.1599913,7286.043080400006
19,22780.006792879965,279059.37949260004,28935.959166545457,-1753.1503359999915,39986.97040337502,181449.154628,32370.40426880002,5659.676075900003,-6350.555194666667,-7806.265500999994,-51.17086545454549,1325.0216727999941,3568.535876999995,312599.89199133334,-4834.866604800001,3688.338479099999
20,34162.93097999989,124733.19315930005,121970.57933136365,129674.36453600004,60099.65606687503,-10576.567179333346,800380.277613,450054.0142345,5830.873715333335,11368.246566000005,8269.920427363642,28052.431320199998,972.4639220000026,-1662.1125482222233,7659.006027000003,1085.7941554999998
21,73492.67288999999,128355.33192489999,27817.33327199999,236783.28088799992,-447.13461000000825,549896.7836083333,437029.5910272001,836722.2838182,2188.525397999998,43894.8415,2707.569384000002,71.65986520001024,525.3931200000006,139969.70502255554,12469.74273279999,7955.609779800005
22,17906.043852000003,32122.568670000022,3983.7164925454563,41293.681282000005,-2913.654908249984,17069.237876000007,29109.91157870002,916019.2444795,-15876.184090666677,40507.749056000015,-6737.2806034545465,13134.2032927,-1015.9198740000029,1384.4838433333316,-2590.4554147000017,27076.6727655
23,-85696.51612600009,82673.9302905,101119.42245763633,1961346.2558940002,65082.95382750005,24336.393050666666,87486.387372,207509.9370021,141612.99878733332,42822.341799,-1888.5302083636343,8937.536558100008,-1348.4250600000087,3811.095839444444,1760.2125480000032,9440.674785900002
24,196337.89121099992,77502.27123929998,-18652.393705363633,693806.498439,-52369.75878074998,6669.914151666671,57436.98289880001,105034.65932549999,9090.855735999998,79108.76708299998,-12021.931441363638,23098.216592700002,-1556.756478000003,3938.67827611111,2121.698825199999,-714.6374504999985
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,10521.103405475158,131247.48933387353,54167.22143832727,428136.61672931997,28009.52366713502,165490.45779222666,389399.56550562003,372157.283874748,5577.882535706665,63363.959377880004,8274.055702607275,33649.148990448004,11096.164347959999,57548.567845497775,4920.737192259999,20722.430569052
