,CD63 ICAM,CD63 p30,CD63 TIGIT,CD63 p30 + TIGIT,CD63 PD1,CD63 p30 + PD1,CD63 2A,CD63 p30 + 2A,PFR ICAM,PFR p30,PFR TIGIT,PFR p30 + TIGIT,PFR PD1,PFR p30 + PD1,PFR 2A,PFR p30 + 2A
0,96007.12812599997,848168.1264363999,7228.426492727274,898124.417826,-2503.7628558749857,42011.50189900001,501118.9346405,371299.534952,2755.294985333334,13576.528672,-2348.8270972727278,55976.5675173,3884.6095019999993,-1569.2320153333385,1602.8804045000034,70838.41600800001
1,-83204.79514200002,130374.6036236,182315.49617490912,214001.14310400002,31892.12217675004,119116.55399333332,319779.0390951,648176.6835121999,-10081.878485000008,732.2533000000021,33111.10677290909,-407.2531231999965,1340.714627999998,27952.986493555552,2334.4579118999973,3395.500757800004
2,14480.17504500001,13547.856077100005,14191.058234545446,114972.495456,-12026.069702999972,2189905.2104956666,13259.366657899998,347597.11990409996,2100.545483333335,18318.709281000003,-1621.9974484545455,10638.732790400005,-737.6344160000008,224778.40628211113,-159.9288869000011,16191.9003939
3,-57033.75347600001,131119.184895,166209.87067681816,537663.7664899998,174556.060246125,29826.584964999987,91394.4078816,-18886.982640899994,-5199.62574166667,-2925.4586179999988,33901.84248181818,32104.281563699995,27786.437288999998,-2137.215088333338,4382.790166400002,364.63354289999916
4,-843.4737000000314,-4714.3996357,160577.5933865455,1293.9885419999919,49535.55050325004,-3352.343518333335,31976.592647700018,798015.1393607,1551.636120999996,47934.30505600001,31694.531128545445,-1020.6112257000004,5024.866252000003,605.0908951111105,336.7006892999998,2584.571452299999
5,-19368.05753400002,339.8434515000117,11638.500563636379,311115.271116,15831.886213874997,22530.580830333332,120961.58921549999,37699.6316105,1285.973941999997,21316.156200000005,-794.6572763636323,12620.253375600001,2557.589409999997,66159.37193088888,4161.745274499999,-291.8496255000009
6,-3284.4370100000087,15512.40469120002,4069.3323789999995,-5549.417750000008,2836.4036868750118,-3747.7689440000104,1919409.8784523997,591425.9965540001,1585.8680333333323,-1226.4614999999976,-4312.1987020000015,4477.831174999999,9284.793584999992,1299.076386666664,12150.888211600002,14810.171226000006
7,81903.80809799989,238309.9173158,74417.976738,29875.517307999995,-16286.339118124975,4755.604583999993,1093705.0024626001,661057.8046255,2895.555236,79396.65575600002,-13925.89657199999,604.7204034000024,-2155.9742890000016,-26.430904000002556,11686.09747139999,61194.402249499995
8,-7633.453997000062,127097.28289143849,14767.447652363633,1563485.3467519998,-33567.83332237498,11241.594566666667,83270.14719930002,672654.921723,-1770.100072000001,425164.625109,46837.09382036363,314437.1173552,4939.790819999998,10375.812217777773,3469.8539366999976,79567.18697699999
9,141927.21367899998,4845.479867800008,38360.884635818176,267744.75766,-20070.59485124998,3378.569514666655,98406.01206810001,-1272.701101499988,2194.577996666667,349.71408900000097,2821.1668838181868,10356.376623500008,-158.1176400000004,289.29526744443865,225.75987089999398,4274.148106499997
10,152511.19897499983,261020.0807466,65862.05774399999,308459.48546600004,18412.798765624997,124930.820982,242608.5144407,12038.4507477,3642.2563500000106,4755.866586000004,7285.417776000002,21846.31494540001,423.22500000000036,23403.125107999993,6288.143625299999,1664.8106552999998
11,-79138.00764000003,25856.17170900001,33103.315971818185,62205.45305,159899.68595025002,-5005.404521999997,1731128.7220092,911855.0788209,-4910.238746666662,237829.04308800003,-507.482228181816,8320.8558095,199418.45819400004,7731.241781999997,19500.3671388,47764.5596091
