,ICAM,p30,KLRG1,p30 + KLRG1,LILRB1,p30 + LILRB1,ICAM,p30,KLRG1,p30 + KLRG1,LILRB1,p30 + LILRB1
0,11108.04098559999,12505.178304000005,41904.852498,97133.58893979999,17708.742128000005,213978.3026481,232.49483920000057,8113.286591999998,1965.5131815000004,20202.309681200008,680.8544977142865,35603.37628740001
1,7746.510614399987,116056.853345,49451.95606000001,68016.1014329,24702.597405000008,191955.87906649997,34.062076800000796,14368.41441,485.57957500000157,9031.462854600006,60778.649649857136,52678.580426
2,-2679.8726048000026,150450.13267090908,1760.9255350000003,39894.701882,15033.652470000008,72875.8783054,471.3750663999981,266729.5211595454,79.22096475000035,34067.423648,292.189165714286,30375.781611600003
3,-5952.6360528000005,42664.961855454545,91160.925842,58594.35657959999,14181.546402000004,46469.7765696,-426.8171566000001,73680.41741727272,360.6215847500007,107876.72069039999,200.02114285714197,7972.9732864
4,37093.59328719999,42366.80856218182,87311.97275500001,119101.05234719999,10045.648455999999,257390.99653820004,83400.6802324,71334.01070290909,384.46275875000356,144205.40794879998,459.6367788571433,10303.0759508
5,17009.005472799996,112174.37499600001,32490.33630400001,17432.666517499994,6467.647500000003,362249.31214769994,15158.244327600001,156585.35757599998,379.6287420000008,25663.310645,79.20927642857168,60994.6782778
6,6075.7626617999995,97296.76052290908,24530.561628000003,58420.97261639999,12566.024019000004,54639.63096189998,253.6704516000009,57136.47789054546,300.2171455000007,80699.23134960001,349.7870828571431,56711.4533636
7,16654.731843199996,75762.95800781818,148929.25570799998,43693.1133137,30060.654038000008,51054.6249045,30811.437694399996,140654.76132309088,908.4910730000029,99617.56859879999,17333.257767142855,15342.638598000003
8,10823.208646799998,32753.94567981818,10823.160668000004,213520.44840629998,7516.949440000008,37683.32385929999,25545.605091600002,42692.82285109091,192.7549927500022,28825.513189199995,255.82209714285636,15809.250426200002
9,9583.506121000006,188752.54338927273,14329.417829999999,13472.509407799997,10241.748324000007,34536.66842319999,101.02981700000055,182064.53084236366,11235.270207750003,7373.935939200001,404.2698042857146,34655.1441648
10,11239.794161399994,47806.744374,8394.858177000002,236537.14044810002,11267.795000000013,76294.78243139999,48.94667880000088,53827.451181,61.20612825000171,235678.2030114,2.9487149999986286,35184.43108760001
11,3151.031699199986,204330.8332399091,37272.749994000005,37402.50036509999,-2461.549258999996,21462.286056699995,-336.6134015999978,157793.77496154548,13709.4601965,9208.725107400003,-162.11454585714273,39035.945617800004
12,2222.0432284000053,43792.57729090908,11616.580850000006,21118.898370500003,14055.162012000004,41803.56048259998,-254.76182320000044,24462.801534545455,391.22050624999974,28391.812862,659.5657765714277,115493.3623744
13,129116.7969656,225175.2526698182,17759.13774900001,24015.150676999994,7346.068647,126213.73965969999,198401.6655952,208120.6367570909,263.056520250002,56955.586268,344.4871975714277,22343.142950800007
14,41248.51018319999,173836.44551272056,12076.175280000003,62425.586384999995,983.3691170000056,132190.51009459997,65393.3694744,153102.7017940294,137.6685675000008,101439.22389,-78.83026242857159,23699.375212400006
15,22126.280894999996,122699.40682181815,9062.008648000003,66262.0358928,21929.467965000003,79111.5230433,38530.57599,45163.90562909091,-29.647425499999372,60350.42661120001,3066.781969285714,61672.79218519999
16,18762.7631738,140961.6101612727,17033.40404500001,40140.734159200016,12126.337776000008,10681.376168299994,42157.9691936,38266.446220363636,9917.88325975,58207.0788608,204.04113300000063,1216.9837522000007
17,5247.598099199997,27861.736884545455,11139.748775000007,59281.6941657,11689.768980090916,84893.2659605,267.1560334000005,54347.841896727274,192.79843125000116,138642.5747178,3908.1424425974033,199952.91911700004
18,123086.33249219999,500440.1152410909,13207.252252000006,17815.484281800003,6700.199220000002,77583.58988459999,212794.29875339998,280074.94794945454,327.6352755000007,1951.328997200002,243.29035028571343,90121.59320640001
19,85.1475655999966,127535.40033163638,15903.253653000007,19508.677007399994,7517.151334000009,81000.5699542,-145.60246879999977,195592.06986218184,784.3838292500004,20215.5806016,104.58802514285708,40335.2012388
20,-391.15315980000014,106524.81611672728,16968.52062400001,9060.053014099998,19005.29245200001,13220.306962099974,83.21034539999891,146129.59772563638,1989.128163000003,1221.635283399999,595.0267145714279,268.1054404000024
21,336.4138367999949,90737.8218209091,21124.043556000004,14674.786251299996,3529.9579640000047,43849.2997803,-196.16904439999962,45435.40591454546,12446.081079250001,49827.1194792,161.2056914285713,500.1438072000001
