Name,ICAM,p30,LILRB1,p30 + LILRB1
D2-250212,11108.04098559999,12505.178304000005,17708.742128000005,213978.3026481
D2-250212,7746.510614399987,116056.853345,24702.597405000008,191955.87906649997
D2-250212,-2679.8726048000026,150450.13267090908,15033.652470000008,72875.8783054
D2-250212,-5952.6360528000005,42664.961855454545,14181.546402000004,46469.7765696
D2-250212,37093.59328719999,42366.80856218182,10045.648455999999,257390.99653820004
D2-250212,17009.005472799996,112174.37499600001,6467.647500000003,362249.31214769994
D2-250212,6075.7626617999995,97296.76052290908,12566.024019000004,54639.63096189998
D2-250212,16654.731843199996,75762.95800781818,30060.654038000008,51054.6249045
D2-250212,10823.208646799998,32753.94567981818,7516.949440000008,37683.32385929999
D2-250212,9583.506121000006,188752.54338927273,10241.748324000007,34536.66842319999
D2-250212,11239.794161399994,47806.744374,11267.795000000013,76294.78243139999
D2-250212,3151.031699199986,204330.8332399091,-2461.549258999996,21462.286056699995
D2-250212,2222.0432284000053,43792.57729090908,14055.162012000004,41803.56048259998
D2-250212,129116.7969656,225175.2526698182,7346.068647,126213.73965969999
D2-250212,41248.51018319999,173836.44551272056,983.3691170000056,132190.51009459997
D2-250212,22126.280894999996,122699.40682181815,21929.467965000003,79111.5230433
D2-250212,18762.7631738,140961.6101612727,12126.337776000008,10681.376168299994
D2-250212,5247.598099199997,27861.736884545455,11689.768980090916,84893.2659605
D2-250212,123086.33249219999,500440.1152410909,6700.199220000002,77583.58988459999
D2-250212,85.1475655999966,127535.40033163638,7517.151334000009,81000.5699542
D2-250212,-391.15315980000014,106524.81611672728,19005.29245200001,13220.306962099974
D2-250212,336.4138367999949,90737.8218209091,3529.9579640000047,43849.2997803
D1-150125,8534.798050000001,85326.86962689999,-19286.982247500004,8213.597709333339
D1-150125,15507.594408000004,37633.860654,34394.51805300001,433512.19686444453
D1-150125,9269.526529666662,13871.290323299996,25139.8317465,6148.494141111114
D1-150125,6690.8543873333365,37359.484157900006,32516.96202900001,43544.236735666665
D1-150125,14627.954293333343,32048.895733699996,22371.745618499997,169964.2505797778
D1-150125,35675.383771333334,39353.28770919998,30502.401025500003,234203.9935978889
D1-150125,9777.485272000002,169771.89136180002,4163.764027499994,18576.68384133333
D1-150125,10965.429159333333,393464.24919989996,50589.6269835,42404.39607077776
D1-150125,8040.947251999998,53218.62315439999,29511.779320500005,56231.71670511112
D1-150125,8467.156714666671,63438.423107400005,-17693.88255600001,73716.57809422222
D1-150125,2435.841064666667,148719.6935917,43333.974547499995,46984.80613688889
D1-150125,87652.453768,169136.3167782,-26244.309414000003,12753.177973333331
D1-150125,26385.4371666667,5391.209693099994,21000.5655875,40305.491713999996
D1-150125,360.31537533333176,49649.82177020001,61531.04179899997,12618.61725044444
D1-150125,8923.376916666668,58241.36994339999,49752.49694399999,57060.16894488888
D1-150125,2197.4061673333345,62373.15747629999,-8135.842352000007,93690.74780733333
D1-150125,15668.435967999998,56505.9652997,-9944.618477500007,6614.360748555562
D1-150125,10274.523520000002,74789.35653660001,2267.951434499999,18921.377777777776
D1-150125,20068.587346333326,65697.85232159999,28191.60759250001,62908.58439466667
D1-150125,12936.873433333341,23002.84027889999,20112.417050999982,23195.673847222213
D1-150125,4632.121226000003,24090.904859099996,-8514.151285500004,19273.80398577777
D1-150125,9328.34448,61801.8637458,12811.964022,37804.337428000006
D1-150125,13560.253120612615,37545.74197,10382.165837999986,30744.00156133333
D1-150125,7834.50556833333,109667.57713730002,-23273.715835500014,14937.708801777775
D1-150125,10083.063274666674,52616.306379,14563.309462833326,127304.92568955556
D1-150125,22387.271553666673,50664.50877870001,33461.859459,8369.679166666669
D1-150125,9797.413623666667,35353.0070817,-12146.641188500027,34274.49212833334
D1-150125,4874.80641666667,34734.33424889999,7669.120125000001,15982.507737777778
D1-150125,14125.099360000007,35828.7247981,-5328.405159000002,130043.94942855553
D1-150125,17809.228844666664,34112.9141122,21266.2742105,43678.56828555556
D1-150125,8272.284962666665,51869.6095743,21809.264681999994,28566.829846666653
D1-150125,38235.24554266667,72589.68273188204,12532.481149999992,13785.969792777774
D1-150125,-616.5367239999905,57455.83392559999,-12217.262436500008,29303.31935222223
D1-150125,457.98276566666755,32054.313530399995,14029.768066499993,19990.143523555555
D1-150125,1648.3446840000033,62942.1072033,55626.00191249998,1349.0217657777757
D1-150125,18907.573646999997,69232.79859949999,-6508.442022500007,6382.765494222225
