,Corrected CD63 ICAM,Corrected CD63 I + p30,Corrected CD63 I + TIGIT,Corrected CD63 I + p30 + TIGIT (2),Corrected CD63 I + PD-1,Corrected CD63 I + p30 + PD1,Corrected CD63 I + KLRG,Corrected CD63 I + p30 + KLRG,Corrected PFR ICAM,Corrected PFR I + p30,Corrected PFR I + TIGIT,Corrected PFR I + p30 + TIGIT (2),Corrected PFR I + PD-1,Corrected PFR I + p30 + PD1,Corrected PFR I + KLRG,Corrected PFR I + p30 + KLRG
0,16388.299502900016,117511.30778933334,369683.27200444444,229028.42991155564,154668.0538445,428501.139528,61190.57402500001,1050883.8578552,-881.440080000004,47760.64395333333,3395.5649774444482,74729.13786311111,-446.3253482499931,512519.0334165001,1690.6228416000013,12837.433805100003
1,1238.3201011999918,194731.31518744444,376152.90819999995,553865.9163991112,-13627.530622166654,292429.3030092857,-20870.429424000016,76225.58531280002,2436.919782500001,102364.19406400001,104747.66643555554,1984.3198468888877,-15821.55767175,525075.5173785,-2778.611482799999,204948.4220687
2,-39430.753336800015,1183636.7569084445,124814.88243466665,3367535.908043777,-12017.966500833325,293601.5135108572,256910.06062799995,104182.33300860002,-679.4684415000011,88418.29798222223,35271.285777000005,515411.7532155555,3119.426295750003,476937.62183350004,-1905.1375001999986,-5101.492772799989
3,43147.445197799985,387640.27919555554,28211.75833622222,30805.16195944445,-31034.322237833316,1059564.6814741432,504184.4973799999,335470.13622720004,50386.8020425,419096.17763866665,20390.52490811111,515686.68420644436,-3404.5230697499937,638991.2987595001,-750.2194799999961,422652.9251971
4,-18947.3542684,319198.18570377777,200091.58100322224,329668.0311172223,-17541.17975899999,683554.2966971429,55328.06941200001,489642.67429436476,6300.917271999999,6381.843685777785,1884.820101555557,532190.300120889,-4006.5466882500004,115345.11858800003,11268.010064800004,70255.0707485
5,543542.8044734999,366546.3978311111,18682.09259666667,298550.88920022233,45169.67851545556,612666.6392027143,118959.622857,72476.70534240003,-1663.1614365000005,43805.36037688889,103016.47549111111,463703.71504333336,53324.61599500001,201049.113412,6387.8417693999945,53446.9973392
6,544.3770561999845,651125.8707922222,24651.99729677778,5826480.877995556,-9928.029680166655,873134.9943892859,96548.970302,920717.8737276,3854.8828445,107870.92531555558,45285.55247788889,32890.306630222214,82030.57244475,1300578.846651,8403.1454696,6666.538945100001
7,24685.2167034,299545.0174044445,17063.597275111104,382546.32908022223,36737.68881183333,630219.3849064286,7066.452860999998,45944.830993999996,2778.4636034999967,868835.7368755555,25770.47769666667,43812.608132222216,1037.6372655000014,624857.3594354999,86791.90024320001,113682.2812695
8,-5743.585392000008,473688.85321077786,44074.690597777764,657539.3130683334,24314.669595833344,329222.16734099993,29591.33009600002,43230.17439999999,3042.8556144999966,42195.775185888895,49381.908236222225,886606.2239133334,-1441.6447592499972,876512.6934409998,37149.17136639999,4384.526075000002
9,-18601.22314670001,114511.66045099997,76002.40949844444,82099.43682222225,11751.713038333342,39562.07824214286,215869.21766799997,2131341.2883592,10766.780880563825,2012973.2182824444,55177.90247866668,8921.19489955555,2895.286115250001,723038.631172,-1099.5966336000001,268321.5279459
