,CD63 ICAM,CD63 p30,CD63 TIGIT,CD63 p30 + TIGIT,CD63 PD1,CD63 p30 + PD1,CD63 KLRG1,CD63 p30 + KLRG1,PFR ICAM,PFR p30,PFR TIGIT,PFR p30 + TIGIT,PFR PD1,PFR p30 + PD1,PFR KLRG1,PFR p30 + KLRG1
0,70516.98470970002,299404.0729504444,119566.23186933332,872255.5390827778,24314.669595833344,186794.06471999997,325853.2701059999,1079951.2983342002,7357.380181499993,552773.7741245556,99568.48007333334,1162205.2090884442,-937.8775812499953,521779.7602325,6387.8417693999945,169800.7516641
1,3377.0677922999894,120294.447066,2272595.342546667,911327.3833726667,11751.713038333342,536746.7893982856,11935.040644000008,822890.7673775998,324.29256749999877,50856.05959200001,65374.406226666666,66304.86003266668,606.1482245000007,624857.3594354999,5260.614899600001,498863.6424918
2,7452.219568199973,57523.83577422223,73946.67778955554,5826480.877995556,154668.0538445,293464.9791978572,158868.30371999997,414900.26884199993,-2453.852049000001,6381.843685777785,27981.47829888889,151916.6417348889,324707.91772125004,193889.72713250003,-314.0687951999971,70255.0707485
3,-32675.654962200002,473688.85321077786,210851.58399277777,1322287.2906766667,32600.194841500008,208312.88036300003,29826.343829999998,53058.79464600001,-2907.502331000007,71956.32302722221,38686.96411844445,521515.04390666663,2895.286115250001,584620.2299735,7256.5444860000025,3907.4231755
4,50376.465540799996,90132.47812222224,141454.07137777776,678888.5061133334,7313.99479833334,123478.97532342856,355367.15367299994,35898.375308,6300.917271999999,31599.176702777782,124940.31268444445,886606.2239133334,-601.4524814999968,252283.42419199998,65821.56351119999,16765.318349000005
5,15700.502542900009,28753.28301511114,188928.80611579164,893451.4722699111,-1267.755470666656,493439.90354371426,215869.21766799997,43230.17439999999,1818.0168724999967,2339.790392888892,51590.451467741674,323166.32946100284,-2149.930333999997,1860129.1237415,205.58205520000047,4384.526075000002
6,23135.3851479,316171.2648515556,376152.90819999995,82099.43682222225,10979.210332333343,1653396.573564,22694.46220600001,416637.2955888,2778.4636034999967,97796.78784244446,141087.19576,219216.66635555556,795.9949675000025,1300578.846651,1479.5147295999996,268321.5279459
7,47012.80716629999,643445.2423983334,127391.66639666667,1299839.1121588887,64086.041059333365,659651.3961305715,65982.009197,604765.9462685998,7144.702579499994,181310.68994666668,25770.47769666667,147586.5913322222,9877.505715000007,851343.5985670001,13364.8308144,173194.92528029997
8,-39895.248851499986,108047.22623644443,42881.77678522222,3307213.604652778,587951.1598155,167235.51696171425,26329.93286,610638.6908160001,-3140.3978675000108,37851.111075555564,104747.66643555554,610997.4496094445,181815.57382725,344723.06643749995,-1386.2627240000002,433527.91400800005
9,-29638.711421899992,213800.6287342222,3779.6280487777694,65861.2587307778,23057.759344833335,1062816.9321645712,76478.641533,414031.04693740007,-3535.784812500002,48106.10678577777,3395.5649774444482,53695.60253744444,23558.83996625,1706972.272119,7161.277586400003,66218.6106647
10,12767.502125700004,1146652.2567084443,200091.58100322224,950160.7505195555,702.0593411666778,612666.6392027143,21466.580167999986,67826.6384384,4431.618215499999,248074.3509355555,20528.793840555558,965397.528196889,-446.3253482499931,734604.5769685,6027.710726400008,18277.042483200006
11,140691.7192497,78478.94397333334,40390.88192099999,2837202.0035938886,15623.993968666677,122914.4699634286,70583.05004199999,212904.8756656,1504.1636414999957,18921.777491666675,35271.285777000005,522273.6920572222,47890.76809900001,115345.11858800003,3771.9868884000025,183971.57310679997
12,16388.299502900016,148460.92741666664,47241.04003888888,298550.88920022233,36737.68881183333,235857.98793142854,29591.33009600002,129782.36813440005,3042.8556144999966,211236.64303333333,17682.468862222224,515411.7532155555,7395.736909750009,427475.04697599995,-236.8622527999978,53446.9973392
13,31539.83748409999,69073.59433333333,18682.09259666667,3464860.4029555554,359040.84408350004,162924.86370399996,31325.024999999994,32318.005574400042,50386.8020425,4913.816416666668,13520.512986666665,532190.300120889,82030.57244475,201049.113412,15995.485800000002,3814.347555200002
