,Corrected CD63 ICAM,Corrected CD63 ICAM + p30,Corrected CD63 KLRG1,Corrected CD63 KLRG1 + p30,Corrected CD63 LILRB1,Corrected CD63 LILRB1 + p30,Corrected PFR ICAM,Corrected PFR ICAM + p30,Corrected PFR KLRG1,Corrected PFR KLRG1 + p30,Corrected PFR LILRB1,Corrected PFR LILRB1 + p30
0,123086.33249219999,177943.29547563638,10659.796866000004,58594.35657959999,983.3691170000056,15128.867774299993,15158.244327600001,1599.7790037272716,360.6215847500007,2504.2180752000013,255.82209714285636,34655.1441648
1,336.4138367999949,118170.87740509091,9062.008648000003,13474.6393226,10241.748324000007,6270.728639999987,34.062076800000796,10170.327003272729,137.6685675000008,1539.3828552000014,292.189165714286,9361.058354400004
2,16654.731843199996,116056.853345,17033.40404500001,25253.456056199997,30060.654038000008,4683.018397399996,65393.3694744,228888.20875227274,1998.1139666206907,20215.5806016,-162.11454585714273,14121.340172799999
3,2426.7273923999965,138153.23419054545,12076.175280000003,25862.5310379,11267.795000000013,66047.32945559997,48.94667880000088,336114.4763590909,391.22050624999974,122.33304720000342,680.8544977142865,10742.651841600002
4,85.1475655999966,88177.73826436364,8394.858177000002,66326.5107873,17708.742128000005,84893.2659605,501.72323080000024,79609.31264354545,-29.647425499999372,11840.528282600004,595.0267145714279,93791.9890778
5,8516.795369600004,204330.8332399091,148929.25570799998,51590.461385400005,21929.467965000003,34536.66842319999,83.21034539999891,62521.42659927272,1965.5131815000004,28391.812862,349.7870828571431,65115.092553600014
6,-391.15315980000014,70677.92709527272,13207.252252000006,296002.6362275,3529.9579640000047,62263.728097000014,18596.548639200002,14259.649396363637,9917.88325975,17139.1736722,-78.83026242857159,83086.1382528
7,19301.177227199994,43792.57729090908,79223.28607199999,213520.44840629998,6467.647500000003,138968.74293559996,38530.57599,123299.81241500002,908.4910730000029,56955.586268,243.29035028571343,1101.024559800002
8,10561.833502200003,173836.44551272056,32490.33630400001,87831.08293959999,14181.546402000004,36254.60278719998,232.49483920000057,57136.47789054546,485.57957500000157,107876.72069039999,3066.781969285714,35603.37628740001
9,9583.506121000006,194588.10745118183,37272.749994000005,14674.786251299996,7517.151334000009,90620.33576259999,42157.9691936,208120.6367570909,192.076350000003,62680.01998319999,79.20927642857168,268.1054404000024
10,18762.7631738,140961.6101612727,9286.698820000005,41578.6272681,7516.949440000008,42789.972037899985,267.1560334000005,210583.63941018184,-46.019536249998055,99617.56859879999,204.04113300000063,115493.3623744
11,3151.031699199986,12505.178304000005,91160.925842,29855.691743799995,15033.652470000008,81000.5699542,-145.60246879999977,54347.841896727274,379.6287420000008,9208.725107400003,3908.1424425974033,27449.355659
12,11239.794161399994,48825.794656909085,21124.043556000004,35092.49441289999,-2461.549258999996,454242.69507109997,212794.29875339998,45163.90562909091,784.3838292500004,60350.42661120001,344.4871975714277,52678.580426
13,-2679.8726048000026,156819.80092363636,27303.26648,11896.863508200004,14055.162012000004,191955.87906649997,113.40732240000034,14097.664081818182,-84.48695324999426,101439.22389,459.6367788571433,30336.713703800004
14,11108.04098559999,63670.707234909096,90115.75853700002,19721.876868600004,7346.068647,76810.21104539998,-254.76182320000044,146129.59772563638,120.38929325000117,12632.450102400004,161.2056914285713,4469.466887200002
15,2222.0432284000053,111147.83544981817,15903.253653000007,13472.509407799997,24702.597405000008,7954.273403999992,48216.535404400005,153102.7017940294,384.46275875000356,131072.4142314,200.02114285714197,14299.235636000003
16,5247.598099199997,112174.37499600001,18741.603359999994,40235.3710491,12566.024019000004,19509.311449799996,164040.19497460002,80004.0908501818,602.7347387500013,23929.026479800003,659.5657765714277,14390.291059199999
17,10823.208646799998,84888.53793263636,32994.06371334483,53568.303124200014,19005.29245200001,43849.2997803,128.76024479999978,77442.55143272727,381.4598635000002,25217.5501368,2.9487149999986286,10669.9903052
18,112021.94057880001,32753.94567981818,16968.52062400001,43693.1133137,10045.648455999999,20592.1379235,-426.8171566000001,918938.1210709091,13709.4601965,16342.574766599999,104.58802514285708,91652.8959776
19,129116.7969656,461207.70926690905,11139.748775000007,38549.9901069,6700.199220000002,747208.2831290999,471.3750663999981,280074.94794945454,11235.270207750003,54319.53765420001,17333.257767142855,19255.70394
20,17913.70065639999,122699.40682181815,1760.9255350000003,68016.1014329,12126.337776000008,281969.4848849999,198401.6655952,57162.60473545454,192.7549927500022,80699.23134960001,404.2698042857146,7972.9732864
21,-5952.6360528000005,500440.1152410909,27246.339121000005,38938.236409799996,11689.768980090916,358043.5589424999,30811.437694399996,14368.41441,61.20612825000171,9371.587203200004,60778.649649857136,199952.91911700004
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,22869.814623999995,144264.67754270218,33277.01233465204,58534.094892713634,11918.828699549595,130254.22567830453,37961.58156528183,144233.46308210882,2002.2165863691234,42430.2578395,4085.583203182998,42566.70041260001
