,Name,ICAM,p30,KLRG,p30 + KLRG
8,D2_250207,68255.74921072728,269182.7045608,283787.5592516666,316794.3666078
9,D2_250207,-14093.15047800001,10914.306920999996,108912.03201066666,122748.47241580002
10,D2_250207,47757.337605090914,579042.1540904001,66156.41403533334,181210.25395750004
11,D2_250207,38163.96625772727,117628.8188906,258818.422156,71879.7475979
12,D2_250207,87708.08012127271,270817.83493189997,54347.95779233332,199198.4013369
13,D2_250207,109409.94701363635,668578.3601672,127609.93463999999,26104.06804900001
14,D2_250207,40154.77242063635,298473.3769409,99441.12316733331,56559.238698600006
15,D2_250207,25017.07613599999,1178824.3120807998,254090.81814599992,360935.004885
16,D2_250207,22857.548219545453,2178123.5176968,20335.514113333324,204485.47219819998
17,D2_250207,32478.390280636362,706469.8488286999,25833.336273333327,651898.5448229001
18,D2_250207,57857.182595636375,174774.8218099,71694.23941866666,275343.9856498
19,D2_250207,9421.836693818179,178416.4040926,43327.96895833334,149444.1635473
20,D2_250207,63497.47663127272,532555.604564047,122063.60433533334,-185.29446839998855
21,D2_250207,17268.251388272736,33405.57951419999,222545.198096,110937.6359032
22,D2_250207,15517.853254090907,47708.236600699995,45017.12104499998,315913.296054
23,D2_250207,24994.916491999997,700604.6825712001,90231.31788533332,583366.3066774
24,D2_250207,32580.70863672727,1523371.8908521999,70690.23949333333,65447.725261200016
25,D2_250207,109247.81247654546,175395.22475020002,210705.65179766665,1199876.6155132002
26,D2_250207,5924.644933090909,1314420.0993508,237230.38018733333,592710.354975
27,D2_250207,73322.98526563635,488622.3327232,42534.54153333333,302528.1181039
28,D2_250207,69856.22821090909,39498.58057499999,147973.71449066664,32486.781882600015
29,D2_250207,7679.334177000004,1087770.3191241,55207.77912866666,100399.79585280002
30,D2_250207,82347.68679709092,834432.3426820999,23789.291488333314,203969.13038110003
31,D2_250207,54647.86267561616,105909.76325999999,88324.45195233333,133292.7160763
32,D2_250207,46481.39452781818,1675585.293777,55278.53265833334,102913.67833850002
33,D2_250207,60992.54899790909,223514.42950550004,20065.281599999988,132294.20035380003
34,D2_250207,-2176.9412089090983,300844.2225549,87625.09440066665,154406.49777090002
35,D2_250207,18422.74319454546,770878.5457997001,70342.353528,308874.24803180003
36,D2_250207,4966.694707727271,420907.8232454999,50319.124238666656,17148.33897680002
37,D2_250207,154240.00176618184,914108.2172156998,119022.36434666667,85361.19516760003
38,D2_250207,57391.29403636362,172624.50847319997,156952.85629033335,95172.02111940001
39,D2_250207,265761.0395950909,34089.6515313,118168.66364599997,49089.333698300004
40,D2_250207,15621.350405000005,339616.2917843,57725.72714466667,277579.97782770003
41,D2_250207,106545.30598436363,39362.37601149999,129057.9108,630804.2508742
42,D2_250207,21482.92004363636,983223.6010289,319354.57830199995,143437.13438550002
43,D2_250207,12032.464817454544,336046.521242,76225.31648999997,113264.60336830001
44,D2_250207,7261.547160909089,300595.3914789,92550.3035993333,263065.4978437786
45,D2_250207,-2304.3868932727273,680212.6292755,97655.82189999998,-2064.9700310999906
46,D2_250207,28012.961455909084,497631.03965250007,146353.574352,916802.4309795001
47,D2_250207,15130.71440363636,294109.3503469,21895.675349999983,329881.2333066
48,D2_250207,16491.55173454545,1319765.9964665,1068631.7253386667,223688.1173538
49,D2_250207,121348.74339490908,368458.26086880005,58431.27744133332,309004.496517
50,D2_250207,156662.94120727276,560597.6002432001,134792.208332,334365.8643801
51,D2_250207,31265.394023181827,200717.48286419996,134871.89027333335,59603.234285400016
52,D2_250207,65097.42867736364,232535.290582,88014.628296,251137.32347640002
53,D2_250207,104722.06606254546,143565.1823097,28314.326674666663,301952.2654741
54,D2_250207,59181.69111536363,679815.6793195,131520.37511899997,208874.1188143
0,D1_150125,7452.219568199973,844420.2871611111,490853.68087000004,67826.6384384
1,D1_150125,-11324.4745884,90132.47812222224,117748.80474699999,513288.1221132001
2,D1_150125,-25111.438955899997,197519.4709364444,504184.4973799999,72476.70534240003
3,D1_150125,140691.7192497,84847.54534533333,55328.06941200001,53718.54104160002
4,D1_150125,31539.83748409999,1991640.3646639995,29591.33009600002,45944.830993999996
5,D1_150125,-29638.711421899992,557492.3924927777,134721.98679901965,189033.34603840005
6,D1_150125,-13185.800072900005,203120.28530000002,160796.9752,-1722.6842617999646
7,D1_150125,43063.6495245,834460.4373526666,328150.29344399995,76225.58531280002
8,D1_150125,-55914.760995000004,213800.6287342222,70583.05004199999,920717.8737276
9,D1_150125,43147.445197799985,2122133.2965416666,158868.30371999997,966482.5723416002
10,D1_150125,70516.98470970002,479436.68729611114,11935.040644000008,495533.61237899994
11,D1_150125,-22507.625517899985,100629.88117233332,102890.84401399997,414031.04693740007
12,D1_150125,-18947.3542684,120294.447066,-20870.429424000016,610638.6908160001
13,D1_150125,12767.502125700004,114511.66045099997,50123.62954999998,315971.21520720003
14,D1_150125,543542.8044734999,115723.77278266664,43163.38781600002,33343.18045920002
15,D1_150125,-15125.383239400006,220181.5693537778,325853.2701059999,353196.4667514
16,D1_150125,47012.80716629999,36659.89927600001,166883.26435199997,2131341.2883592
17,D1_150125,-26176.521910500007,936569.7771291109,61190.57402500001,416637.2955888
18,D1_150125,8275.735280299996,1217196.7034355553,118959.622857,129782.36813440005
19,D1_150125,3377.0677922999894,651125.8707922222,721862.81703,47731.39890120001
20,D1_150125,16388.299502900016,1002052.4545347777,99154.63053499997,551119.6125648001
21,D1_150125,36384.98753749998,-4438.6665433333255,31325.024999999994,701356.9257684
22,D1_150125,-40541.85157110001,60770.89665911111,5751.647219999999,-13661.126901599986
23,D1_150125,23135.3851479,1042520.2098064442,12454.266401999994,52310.551984600024
24,D1_150125,-18601.22314670001,1334365.6972,29826.343829999998,43230.17439999999
25,D1_150125,-2274.6601793999944,2659009.3262685556,14390.813343999995,489642.67429436476
26,D1_150125,-39895.248851499986,372244.64969211107,22694.46220600001,414900.26884199993
27,D1_150125,-5743.585392000008,28753.28301511114,96548.970302,-6047.415286399992
28,D1_150125,7939.763665499995,194731.31518744444,65982.009197,520337.3724796
29,D1_150125,-9753.713864599995,1146652.2567084443,41745.012795999995,1050883.8578552
30,D1_150125,-19815.259305600004,299404.0729504444,265773.533408,822890.7673775998
31,D1_150125,-77284.08064710005,788805.102677111,92547.978582,1920758.214477
32,D1_150125,7914.304230299982,617662.976248889,256910.06062799995,1079951.2983342002
33,D1_150125,21851.80019425744,117511.30778933334,-2342.2396799999988,1855708.5399423998
34,D1_150125,1238.3201011999918,302144.0613955555,19389.307,104182.33300860002
35,D1_150125,-14005.893995499995,42188.86997477778,132330.59639999998,658137.433986
36,D1_150125,2024.7185210999887,42425.829383000004,37274.39801600002,486545.24822760007
37,D1_150125,24685.2167034,1107041.2968715557,26329.93286,53058.79464600001
38,D1_150125,544.3770561999845,16797.34187111113,546674.5349999999,335470.13622720004
39,D1_150125,6924.835742700008,148460.92741666664,108130.92076000001,245335.44348040002
