,Name,ICAM,p30,KLRG,p30 + KLRG
0,D1_250206,-1443.9403704000033,3669.4539058333394,2109.0094299999982,-746.1693410000007
1,D1_250206,254305.27976360003,237337.05301951646,-3585.9819516666685,-1436.6455920000008
2,D1_250206,-1612.982514000003,733546.0426739999,-227.69463733333396,1857.4969280000005
3,D1_250206,122133.855242,-7194.776436166656,971.1925899999987,129276.81507600001
4,D1_250206,159.54664559999765,50482.76030883333,1236.3408586666665,6021.960806000003
5,D1_250206,-1116.5735471999997,660628.6344110001,-440.6723866666689,158289.72803800003
6,D1_250206,-1194.8035391999983,12403.038616500002,-1447.3846613333371,332026.25310400006
7,D1_250206,-1411.007625600003,92643.58747916666,1210.3623726666665,-2372.503454999998
8,D1_250206,-1483.2303360000042,16957.840081000002,-2679.8469500000065,-8749.407161999981
9,D1_250206,-66.61417000000438,274172.64818233333,327.0263873333315,10079.688928000007
10,D1_250206,-945.5749967999982,84060.71442816667,-3546.3917680000086,192642.13249600003
11,D1_250206,-1586.1092422000002,54396.064965666665,937.7563173333328,-480.61413399999947
12,D1_250206,-658.4400124000058,82244.077825,-1748.3677220000027,-2275.4141789999994
13,D1_250206,26014.32407712857,237676.30365133335,-1657.4103333333333,289631.004003
0,D1_241206,128.76024479999978,42692.82285109091,300.2171455000007,22659.3352096
1,D1_241206,25545.605091600002,429944.4203852727,-84.48695324999426,1539.3828552000014
2,D1_241206,30811.437694399996,311532.3127421818,908.4910730000029,54319.53765420001
3,D1_241206,-254.76182320000044,46999.66568272727,192.79843125000116,24090.306280800003
4,D1_241206,83400.6802324,54347.841896727274,192.076350000003,20657.278072800003
5,D1_241206,113.40732240000034,76277.09895490909,360.6215847500007,9031.462854600006
6,D1_241206,38530.57599,332880.07079154544,-46.019536249998055,23929.026479800003
7,D1_241206,-145.60246879999977,45163.90562909091,9917.88325975,17807.055094400006
8,D1_241206,501.72323080000024,87483.44867045456,11235.270207750003,46116.495317199995
9,D1_241206,-426.8171566000001,210583.63941018184,61.20612825000171,99602.1316284
10,D1_241206,48216.535404400005,80004.0908501818,381.4598635000002,62680.01998319999
11,D1_241206,48.94667880000088,140654.76132309088,485.57957500000157,12632.450102400004
12,D1_241206,42157.9691936,24462.801534545455,263.056520250002,131072.4142314
13,D1_241206,253.6704516000009,57162.60473545454,-29.647425499999372,39919.79831839999
14,D1_241206,471.3750663999981,71334.01070290909,1998.1139666206907,9138.2762404
15,D1_241206,101.02981700000055,61985.50719936364,327.6352755000007,193237.1344794
16,D1_241206,33711.53562795715,62521.42659927272,192.7549927500022,77561.21893680001
17,D1_241206,198401.6655952,336114.4763590909,1965.5131815000004,265.8761378000054
18,D1_241206,34.062076800000796,56124.68488690909,384.46275875000356,7383.041206200003
19,D1_241206,232.49483920000057,14259.649396363637,13709.4601965,71496.4170226
20,D1_241206,-336.6134015999978,201630.1591210909,12446.081079250001,49222.3517328
21,D1_241206,15158.244327600001,148724.68839872727,379.6287420000008,38567.34191520001
0,D2_160125,-13273.703949000006,1498980.9886855558,2197.344987499997,173742.19958514287
1,D2_160125,-13871.169496000002,65311.22173644444,1202.9535498749974,7653.888970142856
2,D2_160125,-2357.5056000000004,1725279.417674222,76200.52073475,47654.42803714286
3,D2_160125,-12122.604875000008,1071752.8076783335,550.3430281250003,458851.3590171428
4,D2_160125,-6521.359295000002,150065.5338133333,1748.220468749998,246305.72714285715
5,D2_160125,346785.04955999996,2482273.4244,-338.248689500002,335273.10384342854
6,D2_160125,58142.2579450196,236836.61226555557,1444.5587039999882,274478.68553833134
7,D2_160125,31066.449858,87735.92420266668,2530.598120749999,300556.7398902857
8,D2_160125,-20081.678496,524884.0858146666,327.4924463749994,2248.6899034285707
9,D2_160125,-17302.7733,164651.8889077778,3251.962043249998,124738.09477371427
10,D2_160125,-13157.846256000004,1194454.7462222222,1029.3099424999964,1311816.5805194287
11,D2_160125,-8820.665925000005,651373.4691730001,1063.4216153749949,24069.773225142853
12,D2_160125,-34905.53173200002,751135.4227229999,-709.4895400000023,179612.2063062857
13,D2_160125,591922.058964,189817.5200858889,2976.043058624993,380620.7232524286
14,D2_160125,-29212.72501000001,794490.0913237779,1615.1106029999937,150115.21277885715
15,D2_160125,10974.871525999995,336910.8288424444,1969.3315632499944,38272.720627142866
