,Name,ICAM,p30,LILRB1,p30 + LILRB1
0,D2-250212,232.49483920000057,8113.286591999998,680.8544977142865,35603.37628740001
1,D2-250212,34.062076800000796,14368.41441,60778.649649857136,52678.580426
2,D2-250212,471.3750663999981,266729.5211595454,292.189165714286,30375.781611600003
3,D2-250212,-426.8171566000001,73680.41741727272,200.02114285714197,7972.9732864
4,D2-250212,83400.6802324,71334.01070290909,459.6367788571433,10303.0759508
5,D2-250212,15158.244327600001,156585.35757599998,79.20927642857168,60994.6782778
6,D2-250212,253.6704516000009,57136.47789054546,349.7870828571431,56711.4533636
7,D2-250212,30811.437694399996,140654.76132309088,17333.257767142855,15342.638598000003
8,D2-250212,25545.605091600002,42692.82285109091,255.82209714285636,15809.250426200002
9,D2-250212,101.02981700000055,182064.53084236366,404.2698042857146,34655.1441648
10,D2-250212,48.94667880000088,53827.451181,2.9487149999986286,35184.43108760001
11,D2-250212,-336.6134015999978,157793.77496154548,-162.11454585714273,39035.945617800004
12,D2-250212,-254.76182320000044,24462.801534545455,659.5657765714277,115493.3623744
13,D2-250212,198401.6655952,208120.6367570909,344.4871975714277,22343.142950800007
14,D2-250212,65393.3694744,153102.7017940294,-78.83026242857159,23699.375212400006
15,D2-250212,38530.57599,45163.90562909091,3066.781969285714,61672.79218519999
16,D2-250212,42157.9691936,38266.446220363636,204.04113300000063,1216.9837522000007
17,D2-250212,267.1560334000005,54347.841896727274,3908.1424425974033,199952.91911700004
18,D2-250212,212794.29875339998,280074.94794945454,243.29035028571343,90121.59320640001
19,D2-250212,-145.60246879999977,195592.06986218184,104.58802514285708,40335.2012388
20,D2-250212,83.21034539999891,146129.59772563638,595.0267145714279,268.1054404000024
21,D2-250212,-196.16904439999962,45435.40591454546,161.2056914285713,500.1438072000001
0,D1-150125,336.65716666666594,57653.91672369999,24.02634300000136,-58.41789333333509
1,D1-150125,282.48805999999604,18051.185802,1374.6693464000018,31202.570981555553
2,D1-150125,284.706882444445,874.6625199000009,529.9304526000005,15.793943888887952
3,D1-150125,18.184658888889317,32414.277226699996,1566.941360400002,31676.225692333323
4,D1-150125,358.67306155555525,54527.471313099995,956.9278152000006,86167.32042222223
5,D1-150125,1748.8440715555553,11646.727023600002,532.4847768000009,165689.31386611113
6,D1-150125,1818.3667786666665,86523.18299940001,74.765182000001,-182.5488933333363
7,D1-150125,608.3437358888887,236513.8278947,1778.6842128000008,73980.63993122222
8,D1-150125,349.16836933333434,5637.544103200002,210.56402620000154,2803.0715848888867
9,D1-150125,534.7649991111102,41579.81411220001,-489.5198784000004,88289.00789777776
10,D1-150125,101.1443951111105,87446.4424141,737.2489326000032,19161.485743111112
11,D1-150125,5648.293962666663,83116.8267066,-871.6718135999981,233.78554666666423
12,D1-150125,327.97413111110654,733.2786153000015,1239.1078850000013,67008.661657
13,D1-150125,-42.55436711111088,45096.079998600006,3134.620529200003,736.2804745555532
14,D1-150125,429.35936111111005,72775.7829862,1305.8436672000025,20993.303631111106
15,D1-150125,155.84336555555547,19138.1753079,-1093.9004544,35893.15583666666
16,D1-150125,595.463850666667,59804.204717099994,-185.25248699999793,8169.444885444444
17,D1-150125,458.28394666666645,21283.359325800004,72.10641520000081,2320.3534222222206
18,D1-150125,695.1604098888856,68044.0842288,465.25576900000124,4088.1894613333316
19,D1-150125,380.1482422222216,72166.6790577,791.2474644000013,55786.08380077778
20,D1-150125,171.45515133333265,8876.2480923,-535.8308717999989,302.2401902222191
21,D1-150125,362.3290199999992,60094.1771094,162.5708448000005,10678.379269999996
22,D1-150125,2300.134633192193,7221.864710000002,503.36481360000107,14853.205438666666
23,D1-150125,289.9540072222226,36876.653871899995,-924.8351565999965,1852.3538622222204
24,D1-150125,543.2609884444446,92275.11083700001,463.9289334555572,95955.82430044445
25,D1-150125,547.8876494444448,23880.5367291,1955.3981748000024,-452.9921086666691
26,D1-150125,351.8886057777763,55878.2018011,-799.1554745999965,116042.99631166666
27,D1-150125,222.8317527777781,20098.5926167,485.14836000000014,13645.47756622222
28,D1-150125,735.9687466666674,11785.961634300002,-1267.1991331999961,152943.16659844446
29,D1-150125,657.1455637777781,59432.73066059999,1167.0168488000008,6835.599904444443
30,D1-150125,193.6189671111115,8823.230427899998,490.9926048000016,259.654411333333
31,D1-150125,64091.55288044445,50224.7998990564,42.45015600000261,2331.6038122222217
32,D1-150125,-222.45263466666802,37136.4679928,238.92909260000124,745.9715977777778
33,D1-150125,-140.10715422222347,30058.517311199997,-926.5894505999968,52642.99138744445
34,D1-150125,109.42424000000028,12727.824240900003,3553.7163198000017,26.994078222220196
35,D1-150125,1163.9878910000007,78007.24199850002,-219.60207699999955,290.4041527777772
