,ICAM,p30,TIGIT,p30 + TIGIT,PD1,p30 + PD1,KLRG1,p30 + KLRG1,ICAM,p30,TIGIT,p30 + TIGIT,PD1,p30 + PD1,KLRG1,p30 + KLRG1
0,-40208.31073140004,398422.607076,133612.50347399997,30017.995049428573,-39562.20982083329,79160.22048600006,986115.7850416666,1924493.9119200003,-1586.1092422000002,84060.71442816667,119833.63281500002,11701.243150999997,970.3635791666748,4301.271252000013,-485.7085583333319,31432.938564
1,-6238.259116800022,69842.75407800003,28115.764263999998,1206328.6756508574,2304.2597693333373,20815.537948500016,303659.9605366667,1107804.2028639999,-1443.9403704000033,264436.5393216667,9288.704627999992,123857.099141,-251.6516546666644,3164.473397666672,90.62595066666108,922101.1103439999
2,-124.38689880001766,-12927.406310999999,32983.0246015,141982.94961842854,50525.020186666676,186825.71494349997,100594.29819733332,436594.28684400005,159.54664559999765,1833.3643845000042,5528.946879749999,1597.7544099999977,25511.842266666667,63245.036810666665,-2628.7514626666707,446605.630308
3,4776.3115903999715,-15111.374207999907,118830.10167599996,465671.480182857,-15908.04479133332,174966.95966,58033.95211333334,119174.649748,-945.5749967999982,-7194.776436166656,22473.081669999992,77498.38927999997,9175.336312666674,874074.0465733333,-810.7566866666675,-480.61413399999947
4,3324.4208447999554,86091.16338000003,327187.9493795,25513.771010285724,66182.60410416665,154550.15092549997,321576.8684146666,281477.062812,-878.8682176000038,203396.80803833334,237083.71225274997,3381.168279999998,259720.97205416663,35013.22091233333,-2343.76957733334,289631.004003
5,-9453.379818400019,456550.507008,172947.4795425,154714.00641285715,38038.982948333345,230211.10612500002,33290.168074000016,461493.24072,-1116.5735471999997,733546.0426739999,5248.578371249994,10140.038665999997,90328.83217433334,182958.543404,-1748.3677220000027,-2315.539150000004
6,154928.66103400002,-4114.628599999996,55064.863991499995,125032.00906557144,13697.946166666661,514079.9857685001,24799.91301333334,72424.753671,122133.855242,35357.83370416667,18983.687049249995,1614.6867119999952,1424.456366666669,120810.89500433335,-440.6723866666689,-2255.6318649999994
7,-10554.81649279999,69322.23020699999,49959.294115499986,115526.08168928573,-48953.78588149996,147741.5185535,171503.97906133335,1009900.010392,-658.4400124000058,231970.16777549998,159.70105124999827,5268.859199999992,1969.743350500008,58503.03085666668,2435.7658453333333,1857.4969280000005
8,11077.576321114268,164631.91830300004,190681.27148299993,-4646.380688000005,73045.67039466668,119267.38164400001,55252.842340666684,225978.87274000005,26014.32407712857,20398.42448416668,8245.9129975,-3825.200652000003,68044.57762666668,35429.25849866667,-1173.7223703333366,-5592.588460999999
9,2317.5918919999676,493312.885335,70468.38673699996,158739.22296457144,220045.41903483335,247438.797225,186170.9169156667,117206.820326,-1612.982514000003,267460.38110249996,-1827.3683645000056,4801.832883999996,179814.06541083337,77956.464086,133015.83461366667,167609.177084
10,-5232.243765000021,53505.41738500001,325458.3302384999,10101.796852,219816.7517875,56157.13967750002,36644.71301133334,207806.46145000006,-66.61417000000438,3669.4539058333394,240122.94258074998,31964.557051000003,35708.421101500004,58975.817948333344,-2420.4745426666705,26372.028536000005
11,17582.919225599966,33142.27248,95302.98041549997,83199.0269057143,46870.37730833335,2235.6003450000135,293313.15853,927294.5674079999,-1194.8035391999983,252191.06999950003,37787.706381749995,52054.458984,116452.36010833335,-549.3533899999966,-401.11688600000343,77412.11904800001
12,-16159.254702000006,62352.640920000005,110106.04343250001,127615.03394857142,34893.56270633332,157237.5268025,155914.93124166667,246517.24118199997,-1483.2303360000042,205192.05344583336,26296.219336749997,54375.152899999994,123984.82009433334,103234.93349333332,-1657.4103333333333,-7114.441649999993
13,47174.1287472,202642.79979900006,69032.26913799999,294802.53800157143,869.6061566666613,217544.38597499998,491259.274506,6269.682339000006,254305.27976360003,171683.3771455,4544.128238999998,202134.69229099998,3222.238476666669,218069.20109333337,-3247.147800000006,-2275.4141789999994
