,Corrected CD63 ICAM,Corrected CD63 I + p30,Corrected CD63 I + TIGIT,Corrected CD63 I + p30 + TIGIT,Corrected CD63 I + PD-1,Corrected CD63 I + p30 + PD1,Corrected CD63 I + 2A,Corrected CD63 I + p30 + 2A,Corrected PFR ICAM,Corrected PFR I + p30,Corrected PFR I + TIGIT,Corrected PFR I + p30 + TIGIT,Corrected PFR I + PD-1,Corrected PFR I + p30 + PD1,Corrected PFR I + 2A,Corrected PFR I + p30 + 2A
0,27004.46613,15079.672125000005,322522.47764685715,694557.6072823333,2034.9900617499989,283665.5986311429,54951.166016666626,396469.0230188,-1074.7289728000014,453718.8197200001,10078.906195714288,33858.24676499999,1547.7043049999975,63626.43334428572,3986.3039401666683,584.3849983999935
1,15899.2335078,12470.489120999991,52069.33404600003,689374.1502271667,-19054.136737999987,1174.1672914285737,100396.03512266665,428394.4688056001,527.0662375999927,25939.69584800004,3301.805659714286,79088.763278,3550.932415999996,37798.70330628571,70430.77667500002,24601.400123999996
2,3381.5622655999978,55645.110345,7017.509631571433,992516.8871,5166.80335925,34829.85023142856,23065.386205333314,445.8934256000066,26901.457181399994,667094.9070170001,369.8771942857147,7372.915650000001,6524.411911874999,49027.10354514285,5202.172686333335,2653.7310739999957
3,37141.20109799999,111229.99521749998,6.353223428581259,11852.798468333349,126913.69793724998,79753.19131228571,28648.458431333318,414111.0477456001,4082.3903119999923,54183.472665000016,-6906.0038948571455,296208.316615,2772.897314624999,29974.682728571424,12226.2905655,4628.033577199996
4,10070.082074799997,713261.5283535,55275.09004285713,961875.1909714999,-3558.0679075000007,39275.80912714286,108386.64108099995,13323.9958358,17773.645247999997,124631.55030866669,3287.987582285714,87560.10741599998,594.812013124998,-2193.59189714286,1312.5895183333341,-490.45894240000416
5,59536.17488719997,39920.67758300001,30652.980694285703,257416.1115365,37556.64068775001,62565.746652,39779.171588666635,15961.740341000026,-443.22949780000636,77479.50546266665,2018.0677642857154,3519.761525999995,1280.2123218750003,17172.908197714278,11424.262441833336,-118.53990600000543
6,30767.46033599999,38524.003710499994,33334.35050185716,141314.19828583335,37611.14380800001,398923.1636742857,33132.72384133333,245411.08389120002,1359.5696471999981,116911.33388433339,-318.1270297142837,473473.1485625,-250.90877487500074,24581.692766571432,18572.891313333334,18228.977852399992
7,5425.805576400002,242897.501635,75525.15707942861,320826.4947246667,73165.40555124998,230879.1161688571,7596.569635333322,562024.2114287999,3398.4620843999983,92925.05395200002,-734.0870494285737,1416.941875000004,9005.41461837499,84482.31348728572,13068.2067445,79182.7045884
8,-6274.865345400001,231806.2299875,253231.94085142855,366248.79370166664,1706.8006462500052,16590.506232,30024.081449999998,10815.25590180001,4309.575095999993,48525.313761,-135.12815642857095,-209.40175300000192,953.6760956249982,147887.76947428574,9549.411333333337,-177.9517082000093
9,19316.95474919999,149011.390125,64791.920607142834,726920.3536935,11698.87693125,194667.52082599996,101102.04609266664,61152.42147840001,3410.889897599999,244361.08407533338,-1484.58808157143,49707.41226,-1127.2797510000091,191525.8156177143,3968.6920163333343,-25.773184800003946
10,31567.191313599986,106586.20480749998,49202.069969142874,288914.09740066674,42585.14329374998,278575.5037074286,13096.809459999993,19118.926570800002,24760.201559999994,521330.34646166675,-7120.079580857142,21313.880993499995,2437.773168374999,21455.283949714285,1056.489845666667,-1262.88645920001
11,109452.017864,142941.7839255,4457.068793571434,440696.31266249996,-21078.934878749977,1354761.7175588573,130159.08814066666,163081.98740399998,49.60302779999802,15031.117374,1003.9713542857135,-1797.6904950000026,4272.305285625,35255.116819142844,-494.0819425000009,4768.856481599993
12,28898.568302800006,7589.456772499994,19002.763296000005,378095.5354843333,49181.61658625,490729.6413694286,58570.42106266663,4579.526710800012,9876.308919399984,138471.90816200004,-3296.891704285714,425710.8990645,7671.869472374994,1155.246543142859,18924.676770500002,5176.750963199993
13,31924.530864199987,143843.05255799997,11414.980924285715,426577.31290983333,-3194.9199127500033,175994.19355885714,51072.063541999974,96875.598094,840.177487599999,94169.32098333335,384.5765517142863,34911.80661700001,109.53243574999942,111225.86474271429,6175.8871755,3257.0451227999874
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,28865.027401728566,143629.07830474997,69893.14266484695,478370.417460631,24338.218530410708,260170.40902436734,55712.9044050238,173697.51290372855,6840.813444885709,191055.2449767858,32.163343224489836,108009.65059817857,2810.2394880535685,58069.667330387754,12528.897791702384,10071.87675581428
