,Name,ICAM,p30,KLRG1,p30 + KLRG1
0,D2-250212,7357.380181499993,552773.7741245556,6387.8417693999945,169800.7516641
1,D2-250212,324.29256749999877,50856.05959200001,5260.614899600001,498863.6424918
2,D2-250212,-2453.852049000001,6381.843685777785,-314.0687951999971,70255.0707485
3,D2-250212,-2907.502331000007,71956.32302722221,7256.5444860000025,3907.4231755
4,D2-250212,6300.917271999999,31599.176702777782,65821.56351119999,16765.318349000005
5,D2-250212,1818.0168724999967,2339.790392888892,205.58205520000047,4384.526075000002
6,D2-250212,2778.4636034999967,97796.78784244446,1479.5147295999996,268321.5279459
7,D2-250212,7144.702579499994,181310.68994666668,13364.8308144,173194.92528029997
8,D2-250212,-3140.3978675000108,37851.111075555564,-1386.2627240000002,433527.91400800005
9,D2-250212,-3535.784812500002,48106.10678577777,7161.277586400003,66218.6106647
10,D2-250212,4431.618215499999,248074.3509355555,6027.710726400008,18277.042483200006
11,D2-250212,1504.1636414999957,18921.777491666675,3771.9868884000025,183971.57310679997
12,D2-250212,3042.8556144999966,211236.64303333333,-236.8622527999978,53446.9973392
13,D2-250212,50386.8020425,4913.816416666668,15995.485800000002,3814.347555200002
14,D2-250212,3854.8828445,259133.0746951111,-1856.717539199999,1360026.1620594002
15,D2-250212,-540.793773500005,10823.15244788889,8403.1454696,8388.971163299997
16,D2-250212,4609.1642024999965,47760.64395333333,1690.6228416000013,86878.21743349999
17,D2-250212,-1593.531984000001,43805.36037688889,2694.712906800003,650189.0957205001
18,D2-250212,-679.4684415000011,43509.201775555564,114876.26864000002,32704.38449019999
19,D2-250212,-2368.774875500003,7270.984784,60505.009668800005,67332.3962003
20,D2-250212,1975.570509000001,19683.820714888898,-361.5878069999999,115013.09696620001
21,D2-250212,-1788.4739924999994,321337.32012644445,4775.382287999993,106170.95293739997
22,D2-250212,-2183.1195460000017,39214.402890666664,13438.4412878,241731.03966299994
23,D2-250212,300.75961299999835,468151.2995912223,-1099.5966336000001,-5101.492772799989
24,D2-250212,471.11028299999816,239066.94657022224,-819.0696415999955,765462.2564406
25,D2-250212,5911.035285999998,419096.17763866665,396.84440600000016,4590.270816299999
26,D2-250212,-1663.1614365000005,42177.301032222225,6237.756000000001,716575.3866941
27,D2-250212,-361.03596200000175,17999.47631833334,-995.2710327999976,6666.538945100001
28,D2-250212,-556.0809410000002,66236.50733211111,11268.010064800004,3862.755710100002
29,D2-250212,3101.2867259999985,14431.46718288889,-3962.845641599997,67711.2233083
30,D2-250212,-3663.349725,155101.96701488888,-3670.7523859999965,-5722.56178679999
31,D2-250212,-6953.184664500004,158661.0477225156,-2778.611482799999,127276.15104269996
32,D2-250212,371806.23138749995,42767.88213266668,-1905.1375001999986,405447.14957119996
33,D2-250212,-920.7697555000013,102364.19406400001,31.85290740000346,422652.9251971
34,D2-250212,-1516.8632520000028,9573.92466966667,37149.17136639999,344986.10728830006
35,D2-250212,-365.27721300000485,43205.43318944444,86791.90024320001,411814.4603272
36,D2-250212,12466.288278499997,126588.00115833335,4382.0520104000025,166440.2737998
37,D2-250212,3718.680426499999,536.0641153333381,3167.4939928000003,90796.0388329
38,D2-250212,1375.3044374999954,40216.37297500002,-1649.7735641999898,9937.176495399995
39,D2-250212,-462.3764865000012,24810.72521155556,-750.2194799999961,321.40655510000215
0,D1-150125,-925.2864833333351,28012.0715224,307140.39698333334,48239.3583134
1,D1-150125,21273.810980333335,22503.94321050001,176924.65768366668,127424.66828759997
2,D1-150125,174565.74327233332,61792.36150200001,77870.6,42679.28484959999
3,D1-150125,71470.52194333333,81167.33587499999,164238.7878933333,119510.662713
4,D1-150125,57000.62128199999,134539.2256379,15601.635719999998,74247.67295919999
5,D1-150125,16803.914533333333,614886.1103976,7340.534482666662,107348.9187192
6,D1-150125,46293.210427333324,62083.58617649999,127322.20616133334,136018.8637896
7,D1-150125,22166.914377333324,12197.018326000009,91523.42159999999,155847.51948619998
8,D1-150125,97394.62125533333,3708.6007296000025,80597.53314433333,177071.6241028
9,D1-150125,86565.29202033333,89880.77221899999,823.6045546666664,36754.5606112
10,D1-150125,23684.759339999993,34923.3140521,13250.492687999995,73834.59343080001
11,D1-150125,68686.97432933334,54702.8925818,17418.486560000005,161034.823932
12,D1-150125,59508.26806999999,450.81312300000354,154019.882012,112116.83798359998
13,D1-150125,115522.34937999999,55762.1396998,247389.78390800004,154257.53354059998
14,D1-150125,86316.70004533335,276070.3274736,53898.07465666667,76369.65488639999
15,D1-150125,189863.62700166664,28476.189273600008,80013.76602933335,68371.8420192
16,D1-150125,56409.51337666668,3843.6076423000013,76026.396912,69032.3429888
17,D1-150125,67059.00645066665,1126.090086600003,103716.37187866669,110757.35095040001
18,D1-150125,122549.58665000001,173751.7917245,181872.11355833334,136853.4534268
19,D1-150125,32116.11616133333,32760.61534270001,3490.7847279999987,49439.9056584
20,D1-150125,272704.185314,65268.830814400004,194484.73637366667,243176.34960119997
21,D1-150125,59533.846522333326,67465.35325010002,31854.206802,126009.99535000001
22,D1-150125,112409.76519466666,18950.282551500008,274437.05922666664,14280.4606208
23,D1-150125,49436.72300933332,65156.44150030001,88100.38236,-3049.741730400001
24,D1-150125,122334.74389999999,133314.14266040002,9219.643593333334,15478.146127599999
25,D1-150125,-2491.464654000003,41845.628531099996,362001.07777733327,213748.56619440002
26,D1-150125,73999.41882666666,3482.924009500006,105532.26418333333,151147.50032700005
27,D1-150125,43009.585233333324,3014.792046000006,35718.14543366667,42539.53540200001
28,D1-150125,6810.1019996666655,21636.0168594,3136.5015219999987,60578.406874799985
