Name,ICAM,p30,PD1,p30 + PD1
D1-150125,6840.81344488571,191150.42713471432,2830.271963794639,175812.6571485204
D1-250206,27973.276341609184,176285.8181409643,65434.02694770239,131084.7742814762
D1-250214,71981.39460914544,103793.40435913733,73833.00482091283,169763.5317960615
D2-160125,5577.882535706665,63363.959377880004,11096.164347959999,57548.567845497775
D2-250207,50893.65558346849,456823.58797400974,167910.58610089635,511407.480260126
D2-250212,11425.643186887497,108191.02501841847,20750.05722279792,750172.078541425
