Name,ICAM,p30,KLRG1,p30 + KLRG1
D1-241206,21076.973187081814,121931.23989994185,31556.868110500007,60796.46602096364
D1-241211,13772.149525285538,68376.51909427728,39152.78999192222,54713.67986349074
D1-241217,22503.923915761374,290349.96190463635,88915.21561158977,250784.9889205606
D1-250206,10943.63986642243,146975.9847751429,229866.48292840476,510316.8403154286
D1-250214,53995.81433282148,547924.7459997281,119661.33643753763,245863.3905850378
D2-250207,29861.677839123797,500723.5159063633,151597.88523717818,347488.88376710314
D2-250212,23288.275181232493,359220.1584613004,132106.83514727498,524911.5113838051
