Name,ICAM,p30,2A,p30 + 2A
D1-150125,6840.81344488571,191150.42713471432,12196.549015226192,10688.16643795714
D1-241217,9700.745466045457,137262.21842536365,5800.405007045445,24065.889550084947
D2-160125,5577.882535706665,63363.959377880004,4920.737192259999,20722.430569052
