Name,ICAM,p30,TIGIT,p30 + TIGIT
D1-150125,6840.81344488571,191150.42713471432,813.7792196836732,95095.68815653572
D1-250206,27973.276341609184,176285.8181409643,52412.113277749995,41183.19516414285
D1-250214,71981.39460914544,103793.40435913733,126323.62540753637,178439.3265566574
D2-160125,5577.882535706665,63363.959377880004,8274.055702607275,33649.148990448004
D2-250207,50893.65558346849,456823.58797400974,480111.0377681702,408858.7173123533
D2-250212,11425.643186887497,108191.02501841847,52505.494822524095,330653.0896795889
