Name,ICAM,p30,TIGIT,p30 + TIGIT
D1-150125,28865.027401728563,261976.22132146428,51852.58599730612,472039.2041606309
D1-250206,10943.63986642243,146975.9847751429,127125.01874921427,209614.15761885716
D1-250214,53995.81433282148,547924.7459997281,279764.32458554534,259934.64674415032
D2-160125,10521.103405475156,131247.48933387353,54167.22143832727,428136.61672931997
D2-250207,29861.677839123797,500723.5159063633,425756.5070992553,448669.0619545487
D2-250212,23288.275181232493,359220.1584613004,184307.875334642,891429.8662420284
