Name,ICAM,p30,2A,p30 + 2A
D1-150125,28865.027401728563,261976.22132146428,85063.19496359522,93060.58145367143
D1-241217,22503.923915761374,290349.96190463635,248436.78349359092,298693.958226904
D2-160125,10521.103405475158,131247.48933387353,389399.56550562003,372157.283874748
