Name,ICAM,p30,PD1,p30 + PD1
D1-150125,28865.027401728563,261976.22132146428,19036.076507267855,234978.31966893878
D1-250206,10943.63986642243,146975.9847751429,47276.15429070238,164873.71614853572
D1-250214,53995.81433282148,547924.7459997281,78400.32115424686,338709.2137845514
D2-160125,10521.103405475156,131247.48933387353,28009.52366713502,165490.45779222666
D2-250207,29861.677839123797,500723.5159063633,227732.03702761882,633142.944633036
D2-250212,23288.275181232493,359220.1584613004,40605.80722542806,566788.6609542179
